EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 12-05-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, RIMINI (STAID: 1736).
Blended and updated with sources: 196896 218256 916149 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
916149,20110401,  136,    0
916149,20110402,  123,    0
916149,20110403,  131,    0
916149,20110404,  156,    0
916149,20110405,  132,    0
916149,20110406,  129,    0
196896,20110407,  145,    0
196896,20110408,  184,    0
196896,20110409,  220,    0
196896,20110410,  166,    0
196896,20110411,  158,    0
196896,20110412,  174,    0
196896,20110413,  111,    0
196896,20110414,  118,    0
196896,20110415,  103,    0
196896,20110416,  109,    0
196896,20110417,  110,    0
196896,20110418,  116,    0
196896,20110419,  123,    0
196896,20110420,  133,    0
196896,20110421,  146,    0
196896,20110422,  155,    0
196896,20110423,  163,    0
196896,20110424,  155,    0
196896,20110425,  154,    0
196896,20110426,  143,    0
196896,20110427,  145,    0
196896,20110428,  143,    0
196896,20110429,  149,    0
196896,20110430,  138,    0
196896,20110501,  158,    0
196896,20110502,  165,    0
196896,20110503,  166,    0
196896,20110504,  128,    0
196896,20110505,  122,    0
196896,20110506,  130,    0
196896,20110507,  154,    0
196896,20110508,  178,    0
196896,20110509,  156,    0
196896,20110510,  169,    0
196896,20110511,  198,    0
196896,20110512,  210,    0
196896,20110513,  202,    0
196896,20110514,  217,    0
196896,20110515,  142,    0
196896,20110516,  143,    0
196896,20110517,  162,    0
196896,20110518,  164,    0
196896,20110519,  186,    0
196896,20110520,  192,    0
196896,20110521,  193,    0
196896,20110522,  203,    0
196896,20110523,  210,    0
196896,20110524,  218,    0
196896,20110525,  222,    0
196896,20110526,  222,    0
196896,20110527,  251,    0
196896,20110528,  186,    0
196896,20110529,  182,    0
196896,20110530,  196,    0
196896,20110531,  216,    0
196896,20110601,  215,    0
196896,20110602,  208,    0
196896,20110603,  214,    0
196896,20110604,  216,    0
196896,20110605,  201,    0
196896,20110606,  203,    0
196896,20110607,  205,    0
196896,20110608,  196,    0
196896,20110609,  206,    0
196896,20110610,  198,    0
196896,20110611,  188,    0
196896,20110612,  205,    0
196896,20110613,  207,    0
196896,20110614,  213,    0
196896,20110615,  220,    0
196896,20110616,  238,    0
196896,20110617,  244,    0
196896,20110618,  265,    0
196896,20110619,  243,    0
196896,20110620,  223,    0
196896,20110621,  236,    0
196896,20110622,  249,    0
196896,20110623,  262,    0
196896,20110624,  245,    0
196896,20110625,  221,    0
196896,20110626,  228,    0
196896,20110627,  242,    0
196896,20110628,  250,    0
196896,20110629,  266,    0
196896,20110630,  233,    0
196896,20110701,  215,    0
196896,20110702,  199,    0
196896,20110703,  209,    0
196896,20110704,  240,    0
196896,20110705,  221,    0
196896,20110706,  237,    0
196896,20110707,  269,    0
196896,20110708,  284,    0
196896,20110709,  264,    0
196896,20110710,  268,    0
196896,20110711,  266,    0
196896,20110712,  275,    0
196896,20110713,  309,    0
196896,20110714,  304,    0
196896,20110715,  273,    0
196896,20110716,  252,    0
196896,20110717,  266,    0
196896,20110718,  266,    0
196896,20110719,  236,    0
196896,20110720,  224,    0
196896,20110721,  252,    0
196896,20110722,  244,    0
196896,20110723,  228,    0
196896,20110724,  178,    0
196896,20110725,  185,    0
196896,20110726,  205,    0
196896,20110727,  195,    0
196896,20110728,  204,    0
196896,20110729,  217,    0
196896,20110730,  234,    0
196896,20110731,  234,    0
196896,20110801,  233,    0
196896,20110802,  244,    0
196896,20110803,  254,    0
196896,20110804,  254,    0
196896,20110805,  250,    0
196896,20110806,  257,    0
196896,20110807,  289,    0
196896,20110808,  280,    0
196896,20110809,  234,    0
196896,20110810,  219,    0
196896,20110811,  216,    0
196896,20110812,  228,    0
196896,20110813,  237,    0
196896,20110814,  248,    0
196896,20110815,  261,    0
196896,20110816,  249,    0
196896,20110817,  248,    0
196896,20110818,  253,    0
196896,20110819,  279,    0
196896,20110820,  279,    0
196896,20110821,  273,    0
196896,20110822,  273,    0
196896,20110823,  272,    0
196896,20110824,  275,    0
196896,20110825,  275,    0
196896,20110826,  280,    0
196896,20110827,  288,    0
196896,20110828,  231,    0
196896,20110829,  231,    0
196896,20110830,  238,    0
196896,20110831,  242,    0
196896,20110901,  253,    0
196896,20110902,  250,    0
196896,20110903,  251,    0
196896,20110904,  256,    0
196896,20110905,  243,    0
196896,20110906,  223,    0
196896,20110907,  228,    0
196896,20110908,  234,    0
196896,20110909,  241,    0
196896,20110910,  246,    0
196896,20110911,  243,    0
196896,20110912,  249,    0
196896,20110913,  247,    0
196896,20110914,  251,    0
196896,20110915,  247,    0
196896,20110916,  240,    0
196896,20110917,  237,    0
196896,20110918,  245,    0
196896,20110919,  183,    0
196896,20110920,  182,    0
196896,20110921,  200,    0
196896,20110922,  206,    0
196896,20110923,  200,    0
196896,20110924,  198,    0
196896,20110925,  196,    0
196896,20110926,  198,    0
196896,20110927,  199,    0
196896,20110928,  199,    0
196896,20110929,  192,    0
196896,20110930,  185,    0
196896,20111001,  189,    0
196896,20111002,  190,    0
196896,20111003,  185,    0
196896,20111004,  185,    0
196896,20111005,  188,    0
196896,20111006,  196,    0
196896,20111007,  168,    0
196896,20111008,  138,    0
196896,20111009,  123,    0
196896,20111010,  134,    0
196896,20111011,  160,    0
196896,20111012,  167,    0
196896,20111013,  175,    0
196896,20111014,  153,    0
196896,20111015,  118,    0
196896,20111016,  100,    0
196896,20111017,   97,    0
196896,20111018,  108,    0
196896,20111019,  161,    0
196896,20111020,  131,    0
196896,20111021,  100,    0
196896,20111022,   97,    0
196896,20111023,   93,    0
196896,20111024,   99,    0
196896,20111025,  147,    0
196896,20111026,  121,    0
196896,20111027,  131,    0
196896,20111028,  137,    0
196896,20111029,  119,    0
196896,20111030,  119,    0
196896,20111031,  130,    0
196896,20111101,  129,    0
196896,20111102,  127,    0
196896,20111103,  130,    0
196896,20111104,  154,    0
196896,20111105,  157,    0
196896,20111106,  152,    0
196896,20111107,  131,    0
196896,20111108,  136,    0
196896,20111109,  128,    0
196896,20111110,  122,    0
196896,20111111,  114,    0
196896,20111112,   95,    0
196896,20111113,   79,    0
196896,20111114,   71,    0
196896,20111115,   54,    0
196896,20111116,   42,    0
196896,20111117,   59,    0
196896,20111118,   43,    0
196896,20111119,   38,    0
196896,20111120,   42,    0
196896,20111121,   35,    0
196896,20111122,   67,    0
196896,20111123,   92,    0
196896,20111124,   87,    0
196896,20111125,   67,    0
196896,20111126,   53,    0
196896,20111127,   43,    0
196896,20111128,   46,    0
196896,20111129,   50,    0
196896,20111130,   42,    0
196896,20111201,   51,    0
196896,20111202,   76,    0
196896,20111203,   92,    0
196896,20111204,   78,    0
196896,20111205,  138,    0
196896,20111206,   67,    0
196896,20111207,   92,    0
196896,20111208,   69,    0
196896,20111209,   85,    0
196896,20111210,   81,    0
196896,20111211,   69,    0
196896,20111212,   70,    0
196896,20111213,   84,    0
196896,20111214,  110,    0
196896,20111215,   82,    0
196896,20111216,  126,    0
196896,20111217,   81,    0
196896,20111218,   32,    0
196896,20111219,   44,    0
196896,20111220,   35,    0
196896,20111221,   21,    0
196896,20111222,   26,    0
196896,20111223,   29,    0
196896,20111224,   19,    0
196896,20111225,   49,    0
196896,20111226,   54,    0
196896,20111227,   54,    0
196896,20111228,   27,    0
196896,20111229,   36,    0
196896,20111230,   49,    0
196896,20111231,   28,    0
196896,20120101,   25,    0
196896,20120102,   76,    0
196896,20120103,   65,    0
196896,20120104,   39,    0
196896,20120105,   60,    0
196896,20120106,   69,    0
196896,20120107,   43,    0
196896,20120108,   48,    0
196896,20120109,   40,    0
196896,20120110,   31,    0
196896,20120111,   42,    0
196896,20120112,   31,    0
196896,20120113,   43,    0
196896,20120114,   26,    0
196896,20120115,  -10,    0
196896,20120116,    1,    0
196896,20120117,   -6,    0
196896,20120118,  -25,    0
196896,20120119,  -11,    0
196896,20120120,    8,    0
196896,20120121,   19,    0
196896,20120122,   17,    0
196896,20120123,   32,    0
196896,20120124,   33,    0
196896,20120125,   23,    0
196896,20120126,   30,    0
196896,20120127,   30,    0
196896,20120128,   15,    0
196896,20120129,   49,    0
196896,20120130,   25,    0
196896,20120131,    4,    0
196896,20120201,   16,    0
196896,20120202,    7,    0
196896,20120203,  -26,    0
196896,20120204,  -28,    0
196896,20120205,  -39,    0
196896,20120206,  -48,    0
196896,20120207,   -5,    0
196896,20120208,    7,    0
196896,20120209,   -2,    0
196896,20120210,   -4,    0
196896,20120211,  -26,    0
196896,20120212,  -39,    0
196896,20120213,  -24,    0
196896,20120214,  -27,    0
196896,20120215,   18,    0
196896,20120216,   35,    0
196896,20120217,   15,    0
196896,20120218,   35,    0
196896,20120219,   64,    0
196896,20120220,   35,    0
196896,20120221,   35,    0
196896,20120222,   44,    0
196896,20120223,   73,    0
196896,20120224,   84,    0
196896,20120225,   92,    0
196896,20120226,   60,    0
196896,20120227,   59,    0
196896,20120228,   55,    0
196896,20120229,   86,    0
196896,20120301,   96,    0
196896,20120302,  103,    0
196896,20120303,   93,    0
196896,20120304,   90,    0
196896,20120305,   97,    0
196896,20120306,   69,    0
196896,20120307,   66,    0
196896,20120308,   53,    0
196896,20120309,   72,    0
196896,20120310,   62,    0
196896,20120311,   76,    0
196896,20120312,   88,    0
196896,20120313,   91,    0
196896,20120314,   90,    0
196896,20120315,   98,    0
196896,20120316,   92,    0
196896,20120317,   92,    0
196896,20120318,  133,    0
196896,20120319,  139,    0
196896,20120320,   95,    0
196896,20120321,  126,    0
196896,20120322,  116,    0
196896,20120323,  121,    0
196896,20120324,  127,    0
196896,20120325,  121,    0
196896,20120326,  133,    0
196896,20120327,  113,    0
196896,20120328,  141,    0
196896,20120329,  180,    0
196896,20120330,  177,    0
196896,20120331,  162,    0
196896,20120401,  116,    0
196896,20120402,  111,    0
196896,20120403,  125,    0
196896,20120404,  126,    0
196896,20120405,  136,    0
196896,20120406,  150,    0
196896,20120407,  148,    0
196896,20120408,   95,    0
196896,20120409,   78,    0
196896,20120410,   93,    0
196896,20120411,  110,    0
196896,20120412,  128,    0
196896,20120413,  114,    0
196896,20120414,  106,    0
196896,20120415,  115,    0
196896,20120416,  114,    0
196896,20120417,  115,    0
196896,20120418,  112,    0
196896,20120419,  133,    0
196896,20120420,  125,    0
196896,20120421,  156,    0
196896,20120422,  159,    0
196896,20120423,  142,    0
196896,20120424,  146,    0
196896,20120425,  157,    0
196896,20120426,  145,    0
196896,20120427,  155,    0
196896,20120428,  175,    0
196896,20120429,  185,    0
196896,20120430,  186,    0
196896,20120501,  174,    0
196896,20120502,  168,    0
196896,20120503,  167,    0
196896,20120504,  172,    0
196896,20120505,  183,    0
196896,20120506,  176,    0
196896,20120507,  150,    0
196896,20120508,  159,    0
196896,20120509,  185,    0
196896,20120510,  197,    0
196896,20120511,  211,    0
196896,20120512,  225,    0
196896,20120513,  129,    0
196896,20120514,  122,    0
196896,20120515,  145,    0
196896,20120516,  111,    0
196896,20120517,  132,    0
196896,20120518,  139,    0
196896,20120519,  150,    0
196896,20120520,  151,    0
196896,20120521,  153,    0
196896,20120522,  161,    0
196896,20120523,  183,    0
196896,20120524,  217,    0
196896,20120525,  196,    0
196896,20120526,  169,    0
196896,20120527,  175,    0
196896,20120528,  184,    0
196896,20120529,  212,    0
196896,20120530,  217,    0
196896,20120531,  213,    0
196896,20120601,  233,    0
196896,20120602,  236,    0
196896,20120603,  242,    0
196896,20120604,  189,    0
196896,20120605,  197,    0
196896,20120606,  225,    0
196896,20120607,  219,    0
196896,20120608,  240,    0
196896,20120609,  245,    0
196896,20120610,  227,    0
196896,20120611,  233,    0
196896,20120612,  221,    0
196896,20120613,  222,    0
196896,20120614,  200,    0
196896,20120615,  216,    0
196896,20120616,  228,    0
