EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 12-05-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, BASILICAGOIANO (STAID: 2776).
Blended and updated with sources: 194232 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194232,20070301,-9999,    9
194232,20070302,  224,    0
194232,20070303,  198,    0
194232,20070304,  201,    0
194232,20070305,  195,    0
194232,20070306,-9999,    9
194232,20070307,-9999,    9
194232,20070308,-9999,    9
194232,20070309,-9999,    9
194232,20070310,-9999,    9
194232,20070311,-9999,    9
194232,20070312,-9999,    9
194232,20070313,-9999,    9
194232,20070314,-9999,    9
194232,20070315,-9999,    9
194232,20070316,-9999,    9
194232,20070317,-9999,    9
194232,20070318,-9999,    9
194232,20070319,-9999,    9
194232,20070320,-9999,    9
194232,20070321,-9999,    9
194232,20070322,-9999,    9
194232,20070323,-9999,    9
194232,20070324,-9999,    9
194232,20070325,-9999,    9
194232,20070326,-9999,    9
194232,20070327,-9999,    9
194232,20070328,-9999,    9
194232,20070329,-9999,    9
194232,20070330,-9999,    9
194232,20070331,-9999,    9
194232,20070401,-9999,    9
194232,20070402,-9999,    9
194232,20070403,-9999,    9
194232,20070404,-9999,    9
194232,20070405,-9999,    9
194232,20070406,-9999,    9
194232,20070407,-9999,    9
194232,20070408,-9999,    9
194232,20070409,-9999,    9
194232,20070410,-9999,    9
194232,20070411,-9999,    9
194232,20070412,-9999,    9
194232,20070413,-9999,    9
194232,20070414,-9999,    9
194232,20070415,-9999,    9
194232,20070416,-9999,    9
194232,20070417,-9999,    9
194232,20070418,-9999,    9
194232,20070419,-9999,    9
194232,20070420,-9999,    9
194232,20070421,-9999,    9
194232,20070422,-9999,    9
194232,20070423,  222,    0
194232,20070424,  205,    0
194232,20070425,  188,    0
194232,20070426,  171,    0
