EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 12-05-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, LUGO DI ROMAGNA (STAID: 2829).
Blended and updated with sources: 195744 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195744,20130401,-9999,    9
195744,20130402,-9999,    9
195744,20130403,-9999,    9
195744,20130404,-9999,    9
195744,20130405,-9999,    9
195744,20130406,-9999,    9
195744,20130407,-9999,    9
195744,20130408,   99,    0
195744,20130409,  109,    0
195744,20130410,  118,    0
195744,20130411,  135,    0
195744,20130412,  169,    0
195744,20130413,  164,    0
195744,20130414,  160,    0
195744,20130415,  167,    0
195744,20130416,  166,    0
195744,20130417,  173,    0
195744,20130418,  187,    0
195744,20130419,  191,    0
195744,20130420,  160,    0
195744,20130421,  144,    0
195744,20130422,  124,    0
195744,20130423,  132,    0
195744,20130424,  152,    0
195744,20130425,  170,    0
195744,20130426,  170,    0
195744,20130427,  171,    0
195744,20130428,  184,    0
195744,20130429,  177,    0
195744,20130430,  174,    0
195744,20130501,  187,    0
195744,20130502,  170,    0
195744,20130503,  190,    0
195744,20130504,  189,    0
195744,20130505,  169,    0
195744,20130506,  167,    0
195744,20130507,  169,    0
195744,20130508,  179,    0
195744,20130509,  200,    0
195744,20130510,  190,    0
195744,20130511,  177,    0
195744,20130512,  170,    0
195744,20130513,  163,    0
195744,20130514,  179,    0
195744,20130515,  191,    0
195744,20130516,  177,    0
195744,20130517,  166,    0
195744,20130518,  179,    0
195744,20130519,  171,    0
195744,20130520,  166,    0
195744,20130521,  166,    0
195744,20130522,  171,    0
195744,20130523,  172,    0
195744,20130524,  124,    0
195744,20130525,  104,    0
195744,20130526,  145,    0
195744,20130527,  170,    0
195744,20130528,  167,    0
195744,20130529,  167,    0
195744,20130530,  143,    0
195744,20130531,  161,    0
195744,20130601,  176,    0
195744,20130602,  195,    0
195744,20130603,  190,    0
195744,20130604,  185,    0
195744,20130605,  203,    0
195744,20130606,  196,    0
195744,20130607,  214,    0
195744,20130608,  223,    0
