EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 12-05-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, SAN CASSIANO (STAID: 2889).
Blended and updated with sources: 197088 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197088,20140201,-9999,    9
197088,20140202,-9999,    9
197088,20140203,-9999,    9
197088,20140204,-9999,    9
197088,20140205,-9999,    9
197088,20140206,-9999,    9
197088,20140207,-9999,    9
197088,20140208,-9999,    9
197088,20140209,-9999,    9
197088,20140210,-9999,    9
197088,20140211,-9999,    9
197088,20140212,-9999,    9
197088,20140213,-9999,    9
197088,20140214,-9999,    9
197088,20140215,-9999,    9
197088,20140216,  141,    0
197088,20140217,  122,    0
197088,20140218,   85,    0
197088,20140219,   91,    0
197088,20140220,   81,    0
197088,20140221,  100,    0
197088,20140222,   76,    0
197088,20140223,   52,    0
197088,20140224,   43,    0
197088,20140225,   61,    0
197088,20140226,   72,    0
197088,20140227,   70,    0
197088,20140228,   77,    0
197088,20140301,   63,    0
197088,20140302,   58,    0
197088,20140303,   84,    0
197088,20140304,   63,    0
197088,20140305,   77,    0
197088,20140306,   77,    0
197088,20140307,   81,    0
197088,20140308,   60,    0
197088,20140309,   60,    0
197088,20140310,   67,    0
197088,20140311,   56,    0
197088,20140312,   60,    0
197088,20140313,   76,    0
197088,20140314,   76,    0
197088,20140315,  104,    0
197088,20140316,  116,    0
197088,20140317,  151,    0
197088,20140318,  163,    0
197088,20140319,  138,    0
197088,20140320,  107,    0
197088,20140321,  131,    0
197088,20140322,  138,    0
197088,20140323,  103,    0
197088,20140324,   48,    0
197088,20140325,   50,    0
197088,20140326,   66,    0
197088,20140327,   86,    0
197088,20140328,  100,    0
197088,20140329,   96,    0
197088,20140330,  105,    0
197088,20140331,  133,    0
197088,20140401,  134,    0
197088,20140402,  118,    0
197088,20140403,  127,    0
197088,20140404,  123,    0
197088,20140405,  111,    0
197088,20140406,  121,    0
197088,20140407,  139,    0
197088,20140408,  152,    0
197088,20140409,  126,    0
197088,20140410,  135,    0
197088,20140411,  135,    0
197088,20140412,  122,    0
197088,20140413,  125,    0
197088,20140414,  145,    0
197088,20140415,  110,    0
197088,20140416,   78,    0
197088,20140417,   77,    0
197088,20140418,  115,    0
197088,20140419,  100,    0
197088,20140420,  115,    0
197088,20140421,  134,    0
197088,20140422,  123,    0
197088,20140423,  139,    0
197088,20140424,  139,    0
197088,20140425,  144,    0
197088,20140426,  152,    0
197088,20140427,  141,    0
197088,20140428,  117,    0
197088,20140429,  124,    0
197088,20140430,  131,    0
197088,20140501,  144,    0
197088,20140502,  125,    0
197088,20140503,  122,    0
197088,20140504,  118,    0
197088,20140505,  118,    0
197088,20140506,  154,    0
197088,20140507,  161,    0
197088,20140508,  144,    0
197088,20140509,  171,    0
197088,20140510,  196,    0
197088,20140511,  187,    0
197088,20140512,  161,    0
197088,20140513,  108,    0
197088,20140514,  134,    0
197088,20140515,  124,    0
197088,20140516,  148,    0
197088,20140517,  149,    0
197088,20140518,  163,    0
197088,20140519,  153,    0
197088,20140520,  175,    0
197088,20140521,  182,    0
197088,20140522,  210,    0
197088,20140523,  185,    0
197088,20140524,  178,    0
197088,20140525,  165,    0
197088,20140526,  183,    0
197088,20140527,  170,    0
197088,20140528,  176,    0
197088,20140529,  171,    0
197088,20140530,  151,    0
197088,20140531,  145,    0
197088,20140601,  147,    0
197088,20140602,  166,    0
197088,20140603,  169,    0
197088,20140604,  184,    0
197088,20140605,  207,    0
197088,20140606,  201,    0
197088,20140607,  213,    0
197088,20140608,  226,    0
197088,20140609,  222,    0
197088,20140610,  226,    0
197088,20140611,  239,    0
197088,20140612,  240,    0
197088,20140613,  220,    0
197088,20140614,  213,    0
197088,20140615,  170,    0
197088,20140616,  154,    0
197088,20140617,  161,    0
197088,20140618,  158,    0
197088,20140619,  184,    0
197088,20140620,  207,    0
197088,20140621,  208,    0
197088,20140622,  229,    0
197088,20140623,  245,    0
197088,20140624,  245,    0
197088,20140625,  208,    0
197088,20140626,  185,    0
197088,20140627,  202,    0
197088,20140628,  223,    0
197088,20140629,  222,    0
197088,20140630,  204,    0
197088,20140701,  212,    0
197088,20140702,  212,    0
197088,20140703,  211,    0
197088,20140704,  211,    0
197088,20140705,  220,    0
197088,20140706,  223,    0
197088,20140707,  242,    0
197088,20140708,  203,    0
197088,20140709,  183,    0
197088,20140710,  158,    0
197088,20140711,  195,    0
197088,20140712,  209,    0
197088,20140713,  191,    0
