EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 12-05-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, BOLOGNA_IDROGRAFICO (STAID: 17536).
Blended and updated with sources: 194360 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194360,20150901,-9999,    9
194360,20150902,-9999,    9
194360,20150903,-9999,    9
194360,20150904,-9999,    9
194360,20150905,-9999,    9
194360,20150906,-9999,    9
194360,20150907,-9999,    9
194360,20150908,-9999,    9
194360,20150909,-9999,    9
194360,20150910,-9999,    9
194360,20150911,-9999,    9
194360,20150912,-9999,    9
194360,20150913,-9999,    9
194360,20150914,-9999,    9
194360,20150915,-9999,    9
194360,20150916,-9999,    9
194360,20150917,-9999,    9
194360,20150918,-9999,    9
194360,20150919,-9999,    9
194360,20150920,-9999,    9
194360,20150921,-9999,    9
194360,20150922,-9999,    9
194360,20150923,-9999,    9
194360,20150924,  172,    0
194360,20150925,  187,    0
194360,20150926,  188,    0
194360,20150927,  176,    0
194360,20150928,  171,    0
194360,20150929,  164,    0
194360,20150930,  148,    0
194360,20151001,  120,    0
194360,20151002,  128,    0
194360,20151003,  167,    0
194360,20151004,  192,    0
194360,20151005,  187,    0
194360,20151006,  164,    0
194360,20151007,  181,    0
194360,20151008,  184,    0
194360,20151009,  174,    0
194360,20151010,  148,    0
194360,20151011,  169,    0
194360,20151012,  181,    0
194360,20151013,  153,    0
194360,20151014,  153,    0
194360,20151015,  157,    0
194360,20151016,  127,    0
194360,20151017,  125,    0
194360,20151018,  121,    0
194360,20151019,  130,    0
194360,20151020,  128,    0
194360,20151021,  117,    0
194360,20151022,  116,    0
194360,20151023,  124,    0
194360,20151024,  136,    0
194360,20151025,  137,    0
194360,20151026,  136,    0
194360,20151027,  135,    0
194360,20151028,  122,    0
194360,20151029,  131,    0
194360,20151030,  145,    0
194360,20151031,  128,    0
194360,20151101,  119,    0
194360,20151102,  114,    0
194360,20151103,  123,    0
194360,20151104,  135,    0
194360,20151105,  147,    0
194360,20151106,  151,    0
194360,20151107,  157,    0
194360,20151108,  158,    0
194360,20151109,  165,    0
194360,20151110,  160,    0
194360,20151111,  138,    0
194360,20151112,  147,    0
194360,20151113,  109,    0
194360,20151114,  107,    0
194360,20151115,  104,    0
194360,20151116,  104,    0
194360,20151117,  102,    0
194360,20151118,  101,    0
194360,20151119,  116,    0
194360,20151120,  106,    0
194360,20151121,   84,    0
194360,20151122,   72,    0
194360,20151123,   50,    0
194360,20151124,   59,    0
194360,20151125,   42,    0
194360,20151126,   50,    0
194360,20151127,   69,    0
194360,20151128,   54,    0
194360,20151129,   54,    0
194360,20151130,   76,    0
194360,20151201,   77,    0
194360,20151202,   75,    0
194360,20151203,   50,    0
194360,20151204,   40,    0
194360,20151205,   57,    0
194360,20151206,   54,    0
194360,20151207,   75,    0
194360,20151208,   86,    0
194360,20151209,   34,    0
194360,20151210,   42,    0
194360,20151211,   30,    0
194360,20151212,   35,    0
194360,20151213,   39,    0
194360,20151214,   68,    0
194360,20151215,   82,    0
194360,20151216,   82,    0
194360,20151217,   87,    0
194360,20151218,   89,    0
194360,20151219,   90,    0
194360,20151220,   87,    0
194360,20151221,   65,    0
194360,20151222,   79,    0
194360,20151223,   60,    0
194360,20151224,   72,    0
194360,20151225,   83,    0
194360,20151226,   61,    0
194360,20151227,   43,    0
194360,20151228,   29,    0
194360,20151229,   48,    0
194360,20151230,   42,    0
194360,20151231,   50,    0
194360,20160101,   32,    0
194360,20160102,   16,    0
194360,20160103,   28,    0
194360,20160104,   24,    0
194360,20160105,   34,    0
194360,20160106,   47,    0
194360,20160107,   56,    0
194360,20160108,   57,    0
194360,20160109,   55,    0
194360,20160110,   70,    0
194360,20160111,  126,    0
194360,20160112,  126,    0
194360,20160113,  111,    0
194360,20160114,   50,    0
194360,20160115,   59,    0
194360,20160116,   48,    0
194360,20160117,   46,    0
194360,20160118,   31,    0
194360,20160119,   16,    0
194360,20160120,   18,    0
194360,20160121,   25,    0
194360,20160122,   32,    0
194360,20160123,   38,    0
194360,20160124,   50,    0
194360,20160125,   82,    0
194360,20160126,  107,    0
194360,20160127,   99,    0
194360,20160128,   99,    0
194360,20160129,  104,    0
194360,20160130,   89,    0
194360,20160131,   77,    0
194360,20160201,   71,    0
194360,20160202,   72,    0
194360,20160203,   74,    0
194360,20160204,   87,    0
194360,20160205,   80,    0
194360,20160206,   74,    0
194360,20160207,  110,    0
194360,20160208,   86,    0
194360,20160209,  114,    0
194360,20160210,  102,    0
194360,20160211,   78,    0
194360,20160212,   67,    0
194360,20160213,   62,    0
194360,20160214,   58,    0
194360,20160215,   66,    0
194360,20160216,   65,    0
194360,20160217,   70,    0
194360,20160218,   89,    0
194360,20160219,  100,    0
194360,20160220,   93,    0
194360,20160221,  115,    0
194360,20160222,  101,    0
194360,20160223,  112,    0
194360,20160224,   94,    0
194360,20160225,   75,    0
194360,20160226,   76,    0
194360,20160227,   70,    0
194360,20160228,  102,    0
194360,20160229,  101,    0
194360,20160301,  105,    0
194360,20160302,  122,    0
194360,20160303,   52,    0
194360,20160304,   97,    0
194360,20160305,  104,    0
194360,20160306,   53,    0
194360,20160307,   58,    0
194360,20160308,   57,    0
194360,20160309,   54,    0
194360,20160310,   93,    0
194360,20160311,   93,    0
194360,20160312,  109,    0
194360,20160313,  103,    0
194360,20160314,  100,    0
194360,20160315,   97,    0
194360,20160316,   77,    0
194360,20160317,   90,    0
194360,20160318,  120,    0
194360,20160319,  143,    0
194360,20160320,  147,    0
194360,20160321,  134,    0
194360,20160322,  109,    0
194360,20160323,  102,    0
194360,20160324,  108,    0
194360,20160325,  125,    0
194360,20160326,  127,    0
194360,20160327,  133,    0
194360,20160328,  142,    0
194360,20160329,  165,    0
194360,20160330,  175,    0
194360,20160331,  148,    0
194360,20160401,  151,    0
194360,20160402,  143,    0
194360,20160403,  152,    0
194360,20160404,  140,    0
194360,20160405,  160,    0
194360,20160406,  173,    0
194360,20160407,  132,    0
194360,20160408,  140,    0
194360,20160409,  138,    0
194360,20160410,  161,    0
194360,20160411,  180,    0
194360,20160412,  190,    0
194360,20160413,  184,    0
194360,20160414,  177,    0
194360,20160415,  181,    0
194360,20160416,  202,    0
194360,20160417,  202,    0
194360,20160418,  192,    0
194360,20160419,  157,    0
194360,20160420,  159,    0
194360,20160421,  160,    0
194360,20160422,  181,    0
194360,20160423,  158,    0
194360,20160424,  113,    0
194360,20160425,  113,    0
