EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 12-05-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, BUDRIO_DONDINA (STAID: 17546).
Blended and updated with sources: 194472 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194472,20120401,-9999,    9
194472,20120402,-9999,    9
194472,20120403,-9999,    9
194472,20120404,-9999,    9
194472,20120405,-9999,    9
194472,20120406,-9999,    9
194472,20120407,-9999,    9
194472,20120408,-9999,    9
194472,20120409,-9999,    9
194472,20120410,-9999,    9
194472,20120411,-9999,    9
194472,20120412,-9999,    9
194472,20120413,-9999,    9
194472,20120414,-9999,    9
194472,20120415,-9999,    9
194472,20120416,-9999,    9
194472,20120417,-9999,    9
194472,20120418,-9999,    9
194472,20120419,-9999,    9
194472,20120420,-9999,    9
194472,20120421,-9999,    9
194472,20120422,-9999,    9
194472,20120423,-9999,    9
194472,20120424,-9999,    9
194472,20120425,-9999,    9
194472,20120426,-9999,    9
194472,20120427,-9999,    9
194472,20120428,-9999,    9
194472,20120429,-9999,    9
194472,20120430,  245,    0
194472,20120501,  237,    0
194472,20120502,  211,    0
194472,20120503,  170,    0
194472,20120504,  176,    0
194472,20120505,  171,    0
194472,20120506,  161,    0
194472,20120507,  162,    0
194472,20120508,  163,    0
194472,20120509,  181,    0
194472,20120510,  204,    0
194472,20120511,  220,    0
194472,20120512,  238,    0
194472,20120513,  131,    0
194472,20120514,  129,    0
194472,20120515,  149,    0
194472,20120516,  118,    0
194472,20120517,  138,    0
194472,20120518,  130,    0
194472,20120519,  148,    0
194472,20120520,  146,    0
194472,20120521,  141,    0
194472,20120522,  156,    0
194472,20120523,  189,    0
194472,20120524,  212,    0
194472,20120525,  193,    0
194472,20120526,  171,    0
194472,20120527,  177,    0
194472,20120528,  187,    0
194472,20120529,  208,    0
194472,20120530,  222,    0
194472,20120531,  202,    0
194472,20120601,  225,    0
194472,20120602,  224,    0
194472,20120603,  233,    0
194472,20120604,  188,    0
194472,20120605,  194,    0
194472,20120606,  206,    0
194472,20120607,  213,    0
194472,20120608,  222,    0
194472,20120609,  222,    0
194472,20120610,  206,    0
194472,20120611,  212,    0
194472,20120612,  208,    0
194472,20120613,  199,    0
194472,20120614,  189,    0
194472,20120615,  204,    0
194472,20120616,  217,    0
194472,20120617,  235,    0
194472,20120618,  248,    0
194472,20120619,  262,    0
194472,20120620,  272,    0
194472,20120621,  272,    0
194472,20120622,  266,    0
194472,20120623,  241,    0
194472,20120624,  252,    0
194472,20120625,  270,    0
194472,20120626,  241,    0
194472,20120627,  230,    0
194472,20120628,  246,    0
194472,20120629,  271,    0
194472,20120630,  272,    0
194472,20120701,  276,    0
194472,20120702,  287,    0
194472,20120703,  261,    0
194472,20120704,  258,    0
194472,20120705,  258,    0
194472,20120706,  237,    0
194472,20120707,  243,    0
194472,20120708,  261,    0
194472,20120709,  253,    0
194472,20120710,  270,    0
194472,20120711,  266,    0
194472,20120712,  243,    0
194472,20120713,  247,    0
194472,20120714,  271,    0
194472,20120715,  254,    0
194472,20120716,  217,    0
194472,20120717,  218,    0
194472,20120718,  237,    0
194472,20120719,  251,    0
194472,20120720,  270,    0
194472,20120721,  233,    0
194472,20120722,  226,    0
194472,20120723,  217,    0
194472,20120724,  223,    0
194472,20120725,  243,    0
194472,20120726,  252,    0
194472,20120727,  267,    0
194472,20120728,  287,    0
194472,20120729,  264,    0
194472,20120730,  235,    0
194472,20120731,  248,    0
194472,20120801,  247,    0
194472,20120802,  248,    0
194472,20120803,  263,    0
194472,20120804,  262,    0
194472,20120805,  265,    0
194472,20120806,  278,    0
194472,20120807,  256,    0
194472,20120808,  243,    0
194472,20120809,  249,    0
194472,20120810,  233,    0
194472,20120811,  240,    0
194472,20120812,  231,    0
194472,20120813,  235,    0
194472,20120814,  252,    0
194472,20120815,  264,    0
194472,20120816,  271,    0
194472,20120817,  259,    0
194472,20120818,  254,    0
194472,20120819,  249,    0
194472,20120820,  260,    0
194472,20120821,  269,    0
194472,20120822,  270,    0
194472,20120823,  278,    0
194472,20120824,  287,    0
194472,20120825,  290,    0
194472,20120826,  257,    0
194472,20120827,  208,    0
194472,20120828,  208,    0
194472,20120829,  232,    0
194472,20120830,  250,    0
194472,20120831,  225,    0
194472,20120901,  178,    0
194472,20120902,  194,    0
194472,20120903,  187,    0
194472,20120904,  192,    0
194472,20120905,  205,    0
194472,20120906,  217,    0
194472,20120907,  207,    0
194472,20120908,  204,    0
194472,20120909,  213,    0
194472,20120910,  220,    0
194472,20120911,  233,    0
194472,20120912,  228,    0
194472,20120913,  162,    0
194472,20120914,  183,    0
194472,20120915,  175,    0
194472,20120916,  179,    0
194472,20120917,  189,    0
194472,20120918,  192,    0
194472,20120919,  184,    0
194472,20120920,  155,    0
194472,20120921,  142,    0
194472,20120922,  176,    0
194472,20120923,  207,    0
194472,20120924,  213,    0
194472,20120925,  206,    0
194472,20120926,  241,    0
194472,20120927,  228,    0
194472,20120928,  193,    0
194472,20120929,  187,    0
194472,20120930,  190,    0
194472,20121001,  184,    0
194472,20121002,  189,    0
194472,20121003,  188,    0
194472,20121004,  190,    0
194472,20121005,  188,    0
194472,20121006,  189,    0
194472,20121007,  200,    0
194472,20121008,  176,    0
194472,20121009,  161,    0
194472,20121010,  174,    0
194472,20121011,  168,    0
194472,20121012,  149,    0
194472,20121013,  158,    0
194472,20121014,  151,    0
194472,20121015,  158,    0
194472,20121016,  130,    0
194472,20121017,  141,    0
194472,20121018,  154,    0
194472,20121019,  149,    0
194472,20121020,  138,    0
194472,20121021,  146,    0
194472,20121022,  147,    0
194472,20121023,  134,    0
194472,20121024,  126,    0
194472,20121025,  124,    0
194472,20121026,  124,    0
194472,20121027,  137,    0
194472,20121028,   91,    0
194472,20121029,   65,    0
194472,20121030,   61,    0
194472,20121031,   91,    0
194472,20121101,  102,    0
194472,20121102,   90,    0
194472,20121103,  111,    0
194472,20121104,  122,    0
194472,20121105,  153,    0
194472,20121106,  119,    0
194472,20121107,   89,    0
194472,20121108,   72,    0
194472,20121109,   89,    0
194472,20121110,  104,    0
194472,20121111,  127,    0
194472,20121112,  111,    0
194472,20121113,  121,    0
194472,20121114,  111,    0
194472,20121115,   80,    0
194472,20121116,   79,    0
194472,20121117,   89,    0
194472,20121118,   88,    0
194472,20121119,   90,    0
194472,20121120,  103,    0
194472,20121121,   80,    0
194472,20121122,   85,    0
194472,20121123,   97,    0
194472,20121124,   90,    0
194472,20121125,  100,    0
194472,20121126,  107,    0
194472,20121127,  116,    0
194472,20121128,  110,    0
194472,20121129,   94,    0
194472,20121130,   80,    0
194472,20121201,   63,    0
194472,20121202,   59,    0
194472,20121203,   41,    0
194472,20121204,   11,    0
194472,20121205,   13,    0
194472,20121206,    9,    0
194472,20121207,    1,    0
194472,20121208,   -3,    0
194472,20121209,   -9,    0
194472,20121210,  -11,    0
194472,20121211,   17,    0
194472,20121212,   -7,    0
194472,20121213,  -15,    0
194472,20121214,   -2,    0
194472,20121215,   12,    0
194472,20121216,   10,    0
194472,20121217,   19,    0
194472,20121218,   21,    0
194472,20121219,   -3,    0
194472,20121220,   -1,    0
194472,20121221,    5,    0
194472,20121222,   20,    0
194472,20121223,    5,    0
194472,20121224,   20,    0
194472,20121225,   37,    0
194472,20121226,   51,    0
194472,20121227,   45,    0
194472,20121228,   54,    0
194472,20121229,   22,    0
194472,20121230,   14,    0
194472,20121231,    6,    0
194472,20130101,   10,    0
194472,20130102,   32,    0
194472,20130103,   55,    0
194472,20130104,   32,    0
194472,20130105,   42,    0
194472,20130106,   26,    0
194472,20130107,   24,    0
194472,20130108,   45,    0
194472,20130109,   50,    0
194472,20130110,   41,    0
194472,20130111,   31,    0
194472,20130112,   37,    0
194472,20130113,   33,    0
194472,20130114,   20,    0
194472,20130115,   14,    0
194472,20130116,   15,    0
194472,20130117,    8,    0
194472,20130118,   19,    0
194472,20130119,    3,    0
194472,20130120,   20,    0
194472,20130121,   27,    0
194472,20130122,   22,    0
194472,20130123,   21,    0
194472,20130124,   49,    0
194472,20130125,   40,    0
194472,20130126,   15,    0
194472,20130127,    4,    0
194472,20130128,   11,    0
194472,20130129,   15,    0
194472,20130130,   15,    0
194472,20130131,   28,    0
194472,20130201,   16,    0
194472,20130202,   29,    0
194472,20130203,   42,    0
194472,20130204,   49,    0
194472,20130205,   29,    0
194472,20130206,   40,    0
194472,20130207,   33,    0
194472,20130208,   21,    0
194472,20130209,   15,    0
194472,20130210,    4,    0
194472,20130211,    0,    0
194472,20130212,   15,    0
194472,20130213,   17,    0
194472,20130214,   30,    0
194472,20130215,   21,    0
194472,20130216,   32,    0
194472,20130217,   38,    0
194472,20130218,   31,    0
194472,20130219,   24,    0
194472,20130220,   21,    0
194472,20130221,   18,    0
194472,20130222,   -1,    0
194472,20130223,    2,    0
194472,20130224,   19,    0
194472,20130225,   10,    0
194472,20130226,   30,    0
194472,20130227,   30,    0
194472,20130228,   50,    0
194472,20130301,   48,    0
194472,20130302,   44,    0
194472,20130303,   49,    0
194472,20130304,   52,    0
194472,20130305,   45,    0
194472,20130306,   77,    0
194472,20130307,   90,    0
194472,20130308,   98,    0
194472,20130309,  117,    0
194472,20130310,  108,    0
194472,20130311,   90,    0
194472,20130312,   89,    0
194472,20130313,   89,    0
194472,20130314,   65,    0
194472,20130315,   35,    0
194472,20130316,   30,    0
194472,20130317,   54,    0
194472,20130318,   38,    0
194472,20130319,   74,    0
194472,20130320,   76,    0
194472,20130321,   93,    0
194472,20130322,   90,    0
194472,20130323,   96,    0
194472,20130324,   76,    0
194472,20130325,   31,    0
194472,20130326,   39,    0
194472,20130327,   57,    0
194472,20130328,   62,    0
194472,20130329,   75,    0
194472,20130330,   83,    0
194472,20130331,   98,    0
194472,20130401,   91,    0
194472,20130402,   79,    0
194472,20130403,   81,    0
194472,20130404,   83,    0
194472,20130405,   87,    0
194472,20130406,   92,    0
194472,20130407,   99,    0
194472,20130408,   86,    0
194472,20130409,   95,    0
194472,20130410,  108,    0
194472,20130411,  119,    0
194472,20130412,  158,    0
194472,20130413,  145,    0
194472,20130414,  139,    0
194472,20130415,  145,    0
194472,20130416,  144,    0
194472,20130417,  152,    0
194472,20130418,  168,    0
194472,20130419,  171,    0
194472,20130420,  154,    0
194472,20130421,  140,    0
194472,20130422,  118,    0
194472,20130423,  121,    0
194472,20130424,  133,    0
194472,20130425,  153,    0
194472,20130426,  160,    0
194472,20130427,  157,    0
194472,20130428,  174,    0
