EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 12-05-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CA_BORTOLANI (STAID: 17547).
Blended and updated with sources: 194488 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194488,20110601,-9999,    9
194488,20110602,-9999,    9
194488,20110603,-9999,    9
194488,20110604,-9999,    9
194488,20110605,-9999,    9
194488,20110606,-9999,    9
194488,20110607,-9999,    9
194488,20110608,-9999,    9
194488,20110609,-9999,    9
194488,20110610,-9999,    9
194488,20110611,-9999,    9
194488,20110612,-9999,    9
194488,20110613,-9999,    9
194488,20110614,-9999,    9
194488,20110615,  209,    0
194488,20110616,  222,    0
194488,20110617,  203,    0
194488,20110618,  195,    0
194488,20110619,  191,    0
194488,20110620,  191,    0
194488,20110621,  221,    0
194488,20110622,  234,    0
194488,20110623,  227,    0
194488,20110624,  197,    0
194488,20110625,  186,    0
194488,20110626,  227,    0
194488,20110627,  231,    0
194488,20110628,  243,    0
194488,20110629,  239,    0
194488,20110630,  211,    0
194488,20110701,  184,    0
194488,20110702,  157,    0
194488,20110703,  195,    0
194488,20110704,  204,    0
194488,20110705,  192,    0
194488,20110706,  223,    0
194488,20110707,  229,    0
194488,20110708,  239,    0
194488,20110709,  241,    0
194488,20110710,  253,    0
194488,20110711,  242,    0
194488,20110712,  259,    0
194488,20110713,  263,    0
194488,20110714,  238,    0
194488,20110715,  215,    0
194488,20110716,  204,    0
194488,20110717,  211,    0
194488,20110718,  196,    0
194488,20110719,  171,    0
194488,20110720,  170,    0
194488,20110721,  183,    0
194488,20110722,  195,    0
194488,20110723,  178,    0
194488,20110724,  143,    0
194488,20110725,  162,    0
194488,20110726,  175,    0
194488,20110727,  164,    0
194488,20110728,  188,    0
194488,20110729,  194,    0
194488,20110730,  200,    0
194488,20110731,  204,    0
194488,20110801,  217,    0
194488,20110802,  231,    0
194488,20110803,  233,    0
194488,20110804,  230,    0
194488,20110805,  231,    0
194488,20110806,  227,    0
194488,20110807,  231,    0
194488,20110808,  223,    0
194488,20110809,  191,    0
194488,20110810,  188,    0
194488,20110811,  206,    0
194488,20110812,  218,    0
194488,20110813,  223,    0
194488,20110814,  243,    0
194488,20110815,  230,    0
194488,20110816,  235,    0
194488,20110817,  245,    0
194488,20110818,  260,    0
194488,20110819,  277,    0
194488,20110820,  273,    0
194488,20110821,  278,    0
194488,20110822,  285,    0
194488,20110823,  284,    0
194488,20110824,  288,    0
194488,20110825,  285,    0
194488,20110826,  274,    0
194488,20110827,  228,    0
194488,20110828,  209,    0
194488,20110829,  222,    0
194488,20110830,  214,    0
194488,20110831,  216,    0
194488,20110901,  226,    0
194488,20110902,  231,    0
194488,20110903,  237,    0
194488,20110904,  209,    0
194488,20110905,  193,    0
194488,20110906,  176,    0
194488,20110907,  200,    0
194488,20110908,  212,    0
194488,20110909,  226,    0
194488,20110910,  228,    0
194488,20110911,  230,    0
194488,20110912,  221,    0
194488,20110913,  230,    0
194488,20110914,  237,    0
194488,20110915,  236,    0
194488,20110916,  227,    0
194488,20110917,  222,    0
194488,20110918,  179,    0
194488,20110919,  133,    0
194488,20110920,  144,    0
194488,20110921,  180,    0
194488,20110922,  195,    0
194488,20110923,  179,    0
194488,20110924,  186,    0
194488,20110925,  187,    0
194488,20110926,  189,    0
194488,20110927,  187,    0
194488,20110928,  178,    0
194488,20110929,  178,    0
194488,20110930,  177,    0
194488,20111001,  190,    0
194488,20111002,  200,    0
194488,20111003,  204,    0
194488,20111004,  207,    0
194488,20111005,  203,    0
194488,20111006,  194,    0
194488,20111007,  122,    0
194488,20111008,  114,    0
194488,20111009,   98,    0
194488,20111010,  128,    0
194488,20111011,  193,    0
194488,20111012,  211,    0
194488,20111013,  147,    0
194488,20111014,   96,    0
194488,20111015,   66,    0
194488,20111016,   74,    0
194488,20111017,   80,    0
194488,20111018,  106,    0
194488,20111019,  134,    0
194488,20111020,   73,    0
194488,20111021,   51,    0
194488,20111022,   49,    0
194488,20111023,   53,    0
194488,20111024,   53,    0
194488,20111025,   89,    0
194488,20111026,   89,    0
194488,20111027,   87,    0
194488,20111028,   93,    0
194488,20111029,   94,    0
194488,20111030,   92,    0
194488,20111031,   83,    0
194488,20111101,   78,    0
194488,20111102,   83,    0
194488,20111103,   92,    0
194488,20111104,  126,    0
194488,20111105,  133,    0
194488,20111106,  111,    0
194488,20111107,   95,    0
194488,20111108,  114,    0
194488,20111109,  102,    0
194488,20111110,   96,    0
194488,20111111,   73,    0
194488,20111112,   48,    0
194488,20111113,   59,    0
194488,20111114,   72,    0
194488,20111115,   60,    0
194488,20111116,   50,    0
194488,20111117,   51,    0
194488,20111118,   63,    0
194488,20111119,   63,    0
194488,20111120,   58,    0
194488,20111121,   49,    0
194488,20111122,   42,    0
194488,20111123,   56,    0
194488,20111124,   51,    0
194488,20111125,   66,    0
194488,20111126,   70,    0
194488,20111127,   84,    0
194488,20111128,   67,    0
194488,20111129,   52,    0
194488,20111130,   66,    0
194488,20111201,   81,    0
194488,20111202,  103,    0
194488,20111203,  103,    0
194488,20111204,   92,    0
194488,20111205,  103,    0
194488,20111206,   57,    0
194488,20111207,   86,    0
194488,20111208,  110,    0
194488,20111209,   88,    0
194488,20111210,   86,    0
194488,20111211,   64,    0
194488,20111212,   54,    0
194488,20111213,   67,    0
194488,20111214,   82,    0
194488,20111215,   83,    0
194488,20111216,   85,    0
194488,20111217,   53,    0
194488,20111218,   11,    0
194488,20111219,    4,    0
194488,20111220,    5,    0
194488,20111221,   17,    1
194488,20111222,   26,    1
194488,20111223,   39,    1
194488,20111224,   15,    1
194488,20111225,   29,    1
194488,20111226,   35,    0
194488,20111227,   50,    0
194488,20111228,   63,    0
194488,20111229,   26,    0
194488,20111230,   27,    0
194488,20111231,   42,    0
194488,20120101,   52,    0
194488,20120102,   62,    0
194488,20120103,   29,    0
194488,20120104,   45,    1
194488,20120105,   60,    1
194488,20120106,   39,    1
194488,20120107,   61,    1
194488,20120108,   76,    1
194488,20120109,   61,    1
194488,20120110,   70,    1
194488,20120111,   66,    0
194488,20120112,   56,    0
194488,20120113,   59,    0
194488,20120114,   25,    0
194488,20120115,   11,    0
194488,20120116,  -21,    0
194488,20120117,    1,    0
194488,20120118,   24,    0
194488,20120119,   52,    0
194488,20120120,   76,    0
194488,20120121,   66,    0
194488,20120122,   88,    0
194488,20120123,   70,    0
194488,20120124,   41,    0
194488,20120125,   25,    0
194488,20120126,   27,    0
194488,20120127,   17,    0
194488,20120128,    4,    0
194488,20120129,   -9,    0
194488,20120130,  -42,    0
194488,20120131,  -51,    0
194488,20120201,  -66,    0
194488,20120202,  -66,    0
194488,20120203,  -92,    0
194488,20120204,  -93,    0
194488,20120205,  -85,    0
194488,20120206,  -84,    0
194488,20120207,  -70,    0
194488,20120208,  -48,    0
194488,20120209,  -16,    0
194488,20120210,  -74,    0
194488,20120211,  -83,    0
194488,20120212,  -80,    0
194488,20120213,  -55,    0
194488,20120214,  -21,    0
194488,20120215,   37,    0
194488,20120216,   45,    0
194488,20120217,   42,    0
194488,20120218,   54,    0
194488,20120219,   52,    0
194488,20120220,   -7,    0
194488,20120221,    0,    0
194488,20120222,   22,    0
194488,20120223,   80,    0
194488,20120224,  126,    0
194488,20120225,   96,    0
194488,20120226,   68,    0
194488,20120227,   63,    0
194488,20120228,   67,    0
194488,20120229,  132,    0
194488,20120301,  130,    0
194488,20120302,  147,    0
194488,20120303,  108,    0
194488,20120304,   90,    0
194488,20120305,   67,    0
194488,20120306,   14,    0
194488,20120307,   35,    0
194488,20120308,   54,    0
194488,20120309,   48,    0
194488,20120310,   46,    0
194488,20120311,   67,    0
194488,20120312,  111,    0
194488,20120313,  105,    0
194488,20120314,  117,    0
194488,20120315,  135,    0
194488,20120316,  122,    0
194488,20120317,  115,    0
194488,20120318,  101,    0
194488,20120319,   98,    0
194488,20120320,   83,    0
194488,20120321,  111,    0
194488,20120322,  130,    0
194488,20120323,  132,    0
194488,20120324,  129,    0
194488,20120325,  120,    0
194488,20120326,  132,    0
194488,20120327,  134,    0
194488,20120328,  156,    0
194488,20120329,  173,    0
194488,20120330,  161,    0
194488,20120331,  150,    0
194488,20120401,   91,    0
194488,20120402,   92,    0
194488,20120403,   99,    0
194488,20120404,  102,    0
194488,20120405,  114,    0
194488,20120406,  120,    0
194488,20120407,  112,    0
194488,20120408,   47,    0
194488,20120409,   44,    0
194488,20120410,   78,    0
194488,20120411,   66,    0
194488,20120412,   97,    0
194488,20120413,   71,    0
194488,20120414,   60,    0
194488,20120415,   71,    0
194488,20120416,   69,    0
194488,20120417,   90,    0
194488,20120418,   85,    0
194488,20120419,   81,    0
194488,20120420,   78,    0
194488,20120421,  109,    0
194488,20120422,  108,    0
194488,20120423,   96,    0
194488,20120424,   86,    0
194488,20120425,  111,    0
194488,20120426,  128,    0
194488,20120427,  157,    0
194488,20120428,  184,    0
194488,20120429,  153,    0
194488,20120430,  150,    0
194488,20120501,  129,    0
194488,20120502,  133,    0
194488,20120503,  133,    0
194488,20120504,  130,    0
194488,20120505,  137,    0
194488,20120506,  123,    0
194488,20120507,  126,    0
194488,20120508,  142,    0
194488,20120509,  159,    0
194488,20120510,  187,    0
194488,20120511,  214,    0
194488,20120512,  230,    0
194488,20120513,   91,    0
194488,20120514,   87,    0
194488,20120515,  128,    0
194488,20120516,  100,    0
194488,20120517,  116,    0
194488,20120518,  122,    0
194488,20120519,  138,    0
194488,20120520,  113,    0
194488,20120521,  108,    0
194488,20120522,  121,    0
194488,20120523,  169,    0
