EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 12-05-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, LAGOSANTO (STAID: 17649).
Blended and updated with sources: 195088 195616 196648 197136 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195616,20181101,-9999,    9
195616,20181102,-9999,    9
195616,20181103,-9999,    9
195616,20181104,-9999,    9
195616,20181105,-9999,    9
195616,20181106,-9999,    9
195616,20181107,  146,    0
195616,20181108,  139,    0
195616,20181109,  123,    0
195616,20181110,  126,    0
195616,20181111,  127,    0
195616,20181112,  126,    0
195616,20181113,  135,    0
195616,20181114,  130,    0
196648,20181115,  108,    0
195088,20181116,   95,    0
196648,20181117,   94,    0
196648,20181118,   53,    0
195616,20181119,   50,    0
196648,20181120,   63,    0
195088,20181121,   75,    0
195616,20181122,   75,    0
195088,20181123,   91,    0
195088,20181124,  113,    0
196648,20181125,   99,    0
195088,20181126,   91,    0
195616,20181127,   89,    0
195616,20181128,   70,    0
195616,20181129,   38,    0
195616,20181130,   31,    0
195616,20181201,   50,    0
195616,20181202,   55,    0
196648,20181203,   77,    0
195088,20181204,   59,    0
195616,20181205,   47,    0
195616,20181206,   76,    0
195088,20181207,   62,    0
196648,20181208,   81,    0
196648,20181209,   45,    0
195088,20181210,   54,    0
195616,20181211,   32,    0
195088,20181212,   13,    0
197136,20181213,   41,    0
197136,20181214,   38,    0
197136,20181215,   14,    0
195616,20181216,    0,    0
197136,20181217,   19,    0
197136,20181218,   -1,    0
195616,20181219,   -2,    0
195616,20181220,   22,    0
195616,20181221,   16,    0
195616,20181222,   27,    0
197136,20181223,   43,    0
197136,20181224,   39,    0
195616,20181225,   33,    0
195616,20181226,   13,    0
195616,20181227,   -1,    0
195616,20181228,    2,    0
195616,20181229,  -12,    0
195616,20181230,   -7,    0
195616,20181231,   12,    0
