EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 12-05-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, MARMORTA (STAID: 17669).
Blended and updated with sources: 195688 195824 197272 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197272,20051201,-9999,    9
197272,20051202,-9999,    9
197272,20051203,-9999,    9
197272,20051204,-9999,    9
197272,20051205,-9999,    9
197272,20051206,-9999,    9
197272,20051207,-9999,    9
197272,20051208,-9999,    9
197272,20051209,-9999,    9
197272,20051210,-9999,    9
197272,20051211,-9999,    9
197272,20051212,-9999,    9
197272,20051213,-9999,    9
197272,20051214,-9999,    9
197272,20051215,-9999,    9
197272,20051216,-9999,    9
197272,20051217,-9999,    9
197272,20051218,-9999,    9
197272,20051219,-9999,    9
197272,20051220,-9999,    9
197272,20051221,-9999,    9
197272,20051222,-9999,    9
197272,20051223,-9999,    9
197272,20051224,-9999,    9
197272,20051225,-9999,    9
197272,20051226,-9999,    9
197272,20051227,-9999,    9
197272,20051228,-9999,    9
197272,20051229,-9999,    9
197272,20051230,-9999,    9
197272,20051231,  -15,    0
197272,20060101,   -2,    0
197272,20060102,   12,    0
197272,20060103,   33,    0
197272,20060104,   22,    0
197272,20060105,   22,    0
197272,20060106,   22,    0
197272,20060107,   27,    0
197272,20060108,   25,    0
197272,20060109,    2,    0
197272,20060110,   -3,    0
197272,20060111,    0,    0
197272,20060112,   -2,    0
197272,20060113,   -6,    0
197272,20060114,  -26,    0
197272,20060115,   -8,    0
197272,20060116,    0,    0
197272,20060117,   -5,    0
197272,20060118,    0,    0
197272,20060119,  -13,    0
197272,20060120,  -23,    0
197272,20060121,   -6,    0
197272,20060122,   14,    0
197272,20060123,    1,    0
197272,20060124,  -15,    0
197272,20060125,  -31,    0
197272,20060126,  -24,    0
197272,20060127,    1,    0
197272,20060128,   27,    0
197272,20060129,   35,    0
197272,20060130,   45,    0
197272,20060131,   56,    0
197272,20060201,   37,    0
197272,20060202,   37,    0
197272,20060203,   33,    0
197272,20060204,   22,    0
197272,20060205,   16,    0
197272,20060206,  -12,    0
197272,20060207,  -18,    0
197272,20060208,   14,    0
197272,20060209,   12,    0
197272,20060210,   16,    0
197272,20060211,    8,    0
197272,20060212,   -4,    0
197272,20060213,   -7,    0
197272,20060214,    1,    0
197272,20060215,   28,    0
197272,20060216,   23,    0
197272,20060217,   53,    0
