EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 12-05-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, MEZZANO_NORD-OVEST (STAID: 17678).
Blended and updated with sources: 194176 195928 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195928,20181101,-9999,    9
195928,20181102,-9999,    9
195928,20181103,-9999,    9
195928,20181104,-9999,    9
195928,20181105,-9999,    9
195928,20181106,-9999,    9
195928,20181107,  154,    0
195928,20181108,  141,    0
195928,20181109,  131,    0
195928,20181110,  133,    0
195928,20181111,  141,    0
195928,20181112,  138,    0
195928,20181113,  145,    0
195928,20181114,  131,    0
195928,20181115,  111,    0
195928,20181116,   98,    0
195928,20181117,   84,    0
195928,20181118,   55,    0
195928,20181119,   57,    0
195928,20181120,   55,    0
195928,20181121,   80,    0
195928,20181122,   83,    0
195928,20181123,   92,    0
195928,20181124,  113,    0
195928,20181125,   95,    0
195928,20181126,   93,    0
195928,20181127,   94,    0
195928,20181128,   80,    0
195928,20181129,   41,    0
194176,20181130,   28,    0
195928,20181201,   53,    0
195928,20181202,   57,    0
195928,20181203,   77,    0
195928,20181204,   66,    0
195928,20181205,   48,    0
195928,20181206,   78,    0
195928,20181207,   64,    0
195928,20181208,   73,    0
195928,20181209,   38,    0
195928,20181210,   58,    0
195928,20181211,   34,    0
195928,20181212,   13,    0
195928,20181213,   33,    0
195928,20181214,   29,    0
195928,20181215,    1,    0
195928,20181216,    0,    0
195928,20181217,   12,    0
195928,20181218,   -6,    0
195928,20181219,    0,    0
195928,20181220,   18,    0
195928,20181221,   15,    0
195928,20181222,   33,    0
195928,20181223,   44,    0
195928,20181224,   41,    0
195928,20181225,   38,    0
195928,20181226,   16,    0
195928,20181227,   11,    0
195928,20181228,    8,    0
195928,20181229,   -2,    0
195928,20181230,    6,    0
195928,20181231,   15,    0
195928,20190101,   22,    0
195928,20190102,   15,    0
195928,20190103,    1,    0
195928,20190104,    1,    0
195928,20190105,  -15,    0
195928,20190106,   -4,    0
195928,20190107,    9,    0
195928,20190108,   -4,    0
195928,20190109,   -2,    0
195928,20190110,    6,    0
195928,20190111,   13,    0
195928,20190112,    3,    0
195928,20190113,   15,    0
195928,20190114,   38,    0
195928,20190115,   39,    0
195928,20190116,   37,    0
195928,20190117,   80,    0
195928,20190118,   60,    0
195928,20190119,   46,    0
195928,20190120,   25,    0
195928,20190121,   32,    0
195928,20190122,   28,    0
195928,20190123,   20,    0
195928,20190124,   36,    0
195928,20190125,   20,    0
195928,20190126,   11,    0
195928,20190127,   19,    0
195928,20190128,   32,    0
195928,20190129,   40,    0
195928,20190130,   17,    0
195928,20190131,   33,    0
195928,20190201,   43,    0
195928,20190202,   41,    0
195928,20190203,   58,    0
195928,20190204,   60,    0
195928,20190205,   38,    0
195928,20190206,   42,    0
195928,20190207,   39,    0
195928,20190208,   50,    0
195928,20190209,   52,    0
195928,20190210,   99,    0
195928,20190211,   69,    0
195928,20190212,   56,    0
195928,20190213,   51,    0
195928,20190214,   45,    0
195928,20190215,   45,    0
195928,20190216,   53,    0
195928,20190217,   70,    0
195928,20190218,   71,    0
195928,20190219,   66,    0
195928,20190220,   64,    0
195928,20190221,   49,    0
195928,20190222,   71,    0
195928,20190223,   53,    0
195928,20190224,   40,    0
195928,20190225,   71,    0
195928,20190226,   98,    0
195928,20190227,   98,    0
195928,20190228,   87,    0
195928,20190301,   74,    0
195928,20190302,   79,    0
195928,20190303,   76,    0
195928,20190304,   96,    0
195928,20190305,  104,    0
195928,20190306,   90,    0
195928,20190307,  146,    0
195928,20190308,  140,    0
195928,20190309,  121,    0
195928,20190310,  118,    0
195928,20190311,  101,    0
195928,20190312,   68,    0
195928,20190313,   59,    0
195928,20190314,   71,    0
195928,20190315,   93,    0
195928,20190316,  110,    0
195928,20190317,  112,    0
195928,20190318,   91,    0
195928,20190319,   78,    0
195928,20190320,   90,    0
195928,20190321,   84,    0
195928,20190322,   99,    0
195928,20190323,  119,    0
195928,20190324,  136,    0
195928,20190325,  141,    0
195928,20190326,   90,    0
195928,20190327,-9999,    9
195928,20190328,   96,    0
195928,20190329,  101,    0
195928,20190330,  112,    0
195928,20190331,  123,    0
195928,20190401,  131,    0
195928,20190402,  140,    0
195928,20190403,-9999,    9
195928,20190404,  130,    0
195928,20190405,  101,    0
195928,20190406,  112,    0
195928,20190407,  121,    0
195928,20190408,  116,    0
195928,20190409,  131,    0
195928,20190410,  131,    0
195928,20190411,  133,    0
195928,20190412,-9999,    9
195928,20190413,   98,    0
195928,20190414,   97,    0
195928,20190415,  125,    0
195928,20190416,-9999,    9
195928,20190417,  139,    0
195928,20190418,  140,    0
195928,20190419,  143,    0
195928,20190420,  149,    0
195928,20190421,  149,    0
195928,20190422,  149,    0
195928,20190423,  150,    0
195928,20190424,  169,    0
195928,20190425,  152,    0
195928,20190426,  169,    0
195928,20190427,  161,    0
195928,20190428,  108,    0
195928,20190429,   96,    0
195928,20190430,  143,    0
195928,20190501,  158,    0
195928,20190502,  171,    0
195928,20190503,  154,    0
195928,20190504,  148,    0
195928,20190505,   94,    0
195928,20190506,  107,    0
195928,20190507,  117,    0
195928,20190508,  139,    0
195928,20190509,  148,    0
195928,20190510,  158,    0
195928,20190511,  174,    0
195928,20190512,  122,    0
195928,20190513,  132,    0
195928,20190514,  117,    0
195928,20190515,-9999,    9
195928,20190516,  125,    0
195928,20190517,  143,    0
195928,20190518,  147,    0
195928,20190519,  148,    0
195928,20190520,  160,    0
195928,20190521,  171,    0
195928,20190522,  171,    0
195928,20190523,  189,    0
195928,20190524,  192,    0
195928,20190525,  197,    0
195928,20190526,  181,    0
195928,20190527,  161,    0
195928,20190528,  179,    0
195928,20190529,  142,    0
195928,20190530,  170,    0
195928,20190531,-9999,    9
195928,20190601,-9999,    9
195928,20190602,-9999,    9
195928,20190603,-9999,    9
195928,20190604,-9999,    9
195928,20190605,-9999,    9
195928,20190606,-9999,    9
195928,20190607,-9999,    9
195928,20190608,-9999,    9
195928,20190609,-9999,    9
195928,20190610,-9999,    9
195928,20190611,-9999,    9
195928,20190612,-9999,    9
195928,20190613,-9999,    9
195928,20190614,-9999,    9
195928,20190615,-9999,    9
195928,20190616,-9999,    9
195928,20190617,-9999,    9
195928,20190618,-9999,    9
195928,20190619,-9999,    9
195928,20190620,-9999,    9
195928,20190621,-9999,    9
195928,20190622,-9999,    9
195928,20190623,-9999,    9
195928,20190624,-9999,    9
195928,20190625,-9999,    9
195928,20190626,-9999,    9
195928,20190627,-9999,    9
195928,20190628,-9999,    9
195928,20190629,-9999,    9
195928,20190630,-9999,    9
195928,20190701,-9999,    9
195928,20190702,-9999,    9
195928,20190703,-9999,    9
195928,20190704,-9999,    9
195928,20190705,-9999,    9
195928,20190706,-9999,    9
195928,20190707,-9999,    9
195928,20190708,-9999,    9
195928,20190709,-9999,    9
195928,20190710,-9999,    9
195928,20190711,-9999,    9
195928,20190712,-9999,    9
195928,20190713,-9999,    9
195928,20190714,-9999,    9
195928,20190715,-9999,    9
195928,20190716,-9999,    9
195928,20190717,-9999,    9
195928,20190718,-9999,    9
195928,20190719,-9999,    9
195928,20190720,-9999,    9
195928,20190721,-9999,    9
195928,20190722,-9999,    9
195928,20190723,-9999,    9
195928,20190724,-9999,    9
195928,20190725,-9999,    9
195928,20190726,-9999,    9
195928,20190727,-9999,    9
195928,20190728,-9999,    9
195928,20190729,-9999,    9
195928,20190730,-9999,    9
195928,20190731,-9999,    9
195928,20190801,-9999,    9
195928,20190802,-9999,    9
195928,20190803,-9999,    9
195928,20190804,-9999,    9
195928,20190805,-9999,    9
195928,20190806,-9999,    9
195928,20190807,-9999,    9
195928,20190808,-9999,    9
195928,20190809,-9999,    9
195928,20190810,-9999,    9
195928,20190811,-9999,    9
195928,20190812,-9999,    9
195928,20190813,-9999,    9
195928,20190814,-9999,    9
195928,20190815,-9999,    9
195928,20190816,-9999,    9
195928,20190817,-9999,    9
195928,20190818,-9999,    9
195928,20190819,-9999,    9
195928,20190820,-9999,    9
195928,20190821,-9999,    9
195928,20190822,-9999,    9
195928,20190823,-9999,    9
195928,20190824,-9999,    9
195928,20190825,-9999,    9
195928,20190826,-9999,    9
195928,20190827,-9999,    9
195928,20190828,-9999,    9
195928,20190829,-9999,    9
195928,20190830,-9999,    9
