EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 12-05-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, MORDANO_BUBANO (STAID: 17698).
Blended and updated with sources: 196216 197304 198112 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196216,20051201,-9999,    9
196216,20051202,-9999,    9
196216,20051203,-9999,    9
196216,20051204,-9999,    9
196216,20051205,-9999,    9
196216,20051206,-9999,    9
196216,20051207,-9999,    9
196216,20051208,-9999,    9
196216,20051209,-9999,    9
196216,20051210,-9999,    9
196216,20051211,-9999,    9
196216,20051212,-9999,    9
196216,20051213,-9999,    9
196216,20051214,-9999,    9
196216,20051215,-9999,    9
196216,20051216,-9999,    9
196216,20051217,-9999,    9
196216,20051218,-9999,    9
196216,20051219,-9999,    9
196216,20051220,-9999,    9
196216,20051221,-9999,    9
196216,20051222,-9999,    9
196216,20051223,-9999,    9
196216,20051224,-9999,    9
196216,20051225,-9999,    9
196216,20051226,-9999,    9
196216,20051227,-9999,    9
196216,20051228,-9999,    9
196216,20051229,-9999,    9
196216,20051230,-9999,    9
196216,20051231,  -13,    0
196216,20060101,   -2,    0
196216,20060102,   20,    0
196216,20060103,   40,    0
196216,20060104,   26,    0
196216,20060105,   24,    0
196216,20060106,   25,    0
196216,20060107,   41,    0
196216,20060108,   30,    0
196216,20060109,    5,    0
196216,20060110,    3,    0
196216,20060111,    7,    0
196216,20060112,    6,    0
196216,20060113,    6,    0
196216,20060114,  -15,    0
196216,20060115,   -7,    0
196216,20060116,    2,    0
196216,20060117,   -2,    0
196216,20060118,    5,    0
196216,20060119,  -14,    0
196216,20060120,  -22,    0
196216,20060121,   -4,    0
196216,20060122,   20,    0
196216,20060123,    4,    0
196216,20060124,  -12,    0
196216,20060125,  -21,    0
196216,20060126,  -22,    0
196216,20060127,    2,    0
196216,20060128,   31,    0
196216,20060129,   42,    0
196216,20060130,   51,    0
196216,20060131,   61,    0
196216,20060201,   49,    0
196216,20060202,   49,    0
196216,20060203,   41,    0
196216,20060204,   36,    0
196216,20060205,   20,    0
196216,20060206,   -5,    0
196216,20060207,   -7,    0
196216,20060208,   10,    0
196216,20060209,   23,    0
196216,20060210,   25,    0
196216,20060211,   22,    0
196216,20060212,   12,    0
196216,20060213,    9,    0
196216,20060214,   19,    0
196216,20060215,   38,    0
196216,20060216,   32,    0
196216,20060217,   70,    0
196216,20060218,  109,    0
196216,20060219,   68,    0
196216,20060220,   81,    0
196216,20060221,   56,    0
196216,20060222,   71,    0
196216,20060223,   73,    0
196216,20060224,   50,    0
196216,20060225,   46,    0
196216,20060226,   62,    0
196216,20060227,   45,    0
196216,20060228,   28,    0
196216,20060301,   33,    0
196216,20060302,   26,    0
196216,20060303,   58,    0
196216,20060304,  139,    0
196216,20060305,  112,    0
196216,20060306,   49,    0
196216,20060307,   41,    0
196216,20060308,   42,    0
196216,20060309,   67,    0
196216,20060310,   69,    0
196216,20060311,   55,    0
196216,20060312,   22,    0
196216,20060313,   41,    0
196216,20060314,   35,    0
196216,20060315,   45,    0
196216,20060316,   38,    0
196216,20060317,   61,    0
196216,20060318,   44,    0
196216,20060319,   50,    0
196216,20060320,   74,    0
196216,20060321,   75,    0
196216,20060322,   78,    0
196216,20060323,  102,    0
196216,20060324,   77,    0
196216,20060325,   99,    0
196216,20060326,  120,    0
196216,20060327,  135,    0
196216,20060328,  142,    0
196216,20060329,  142,    0
196216,20060330,  138,    0
196216,20060331,  146,    0
196216,20060401,  137,    0
196216,20060402,  140,    0
196216,20060403,  113,    0
196216,20060404,  106,    0
196216,20060405,  129,    0
196216,20060406,   87,    0
196216,20060407,   81,    0
196216,20060408,   96,    0
196216,20060409,  122,    0
196216,20060410,  139,    0
196216,20060411,   97,    0
196216,20060412,  106,    0
196216,20060413,  117,    0
196216,20060414,  153,    0
196216,20060415,  151,    0
196216,20060416,  157,    0
196216,20060417,  138,    0
196216,20060418,  134,    0
196216,20060419,  141,    0
196216,20060420,  153,    0
196216,20060421,  159,    0
196216,20060422,  176,    0
196216,20060423,  176,    0
196216,20060424,  171,    0
196216,20060425,  172,    0
196216,20060426,  178,    0
196216,20060427,  142,    0
196216,20060428,  143,    0
196216,20060429,  152,    0
196216,20060430,  115,    0
196216,20060501,  136,    0
196216,20060502,  146,    0
196216,20060503,  152,    0
196216,20060504,  154,    0
196216,20060505,  157,    0
196216,20060506,  163,    0
196216,20060507,  165,    0
196216,20060508,  158,    0
196216,20060509,  129,    0
196216,20060510,  157,    0
196216,20060511,  164,    0
196216,20060512,  179,    0
196216,20060513,  200,    0
196216,20060514,  157,    0
196216,20060515,  174,    0
196216,20060516,  210,    0
196216,20060517,  215,    0
196216,20060518,  216,    0
196216,20060519,  233,    0
196216,20060520,  208,    0
196216,20060521,  218,    0
196216,20060522,  224,    0
196216,20060523,  210,    0
196216,20060524,  166,    0
196216,20060525,  165,    0
196216,20060526,  193,    0
196216,20060527,  220,    0
196216,20060528,  230,    0
196216,20060529,  198,    0
196216,20060530,  120,    0
196216,20060531,  132,    0
196216,20060601,  152,    0
196216,20060602,  142,    0
196216,20060603,  145,    0
196216,20060604,  180,    0
196216,20060605,  179,    0
196216,20060606,  159,    0
196216,20060607,  162,    0
196216,20060608,  163,    0
196216,20060609,  171,    0
196216,20060610,  199,    0
196216,20060611,  185,    0
196216,20060612,  186,    0
196216,20060613,  215,    0
196216,20060614,  235,    0
196216,20060615,  246,    0
196216,20060616,  236,    0
196216,20060617,  245,    0
196216,20060618,  251,    0
196216,20060619,  250,    0
196216,20060620,  265,    0
196216,20060621,  251,    0
196216,20060622,  270,    0
196216,20060623,  266,    0
196216,20060624,  256,    0
196216,20060625,  260,    0
196216,20060626,  274,    0
196216,20060627,  277,    0
196216,20060628,  269,    0
196216,20060629,  264,    0
196216,20060630,  261,    0
196216,20060701,  253,    0
196216,20060702,  248,    0
196216,20060703,  239,    0
196216,20060704,  235,    0
196216,20060705,  235,    0
196216,20060706,  232,    0
196216,20060707,  209,    0
196216,20060708,  234,    0
196216,20060709,  250,    0
196216,20060710,  258,    0
196216,20060711,  262,    0
196216,20060712,  265,    0
196216,20060713,  261,    0
196216,20060714,  259,    0
196216,20060715,  252,    0
196216,20060716,  230,    0
196216,20060717,  225,    0
196216,20060718,  228,    0
196216,20060719,  245,    0
196216,20060720,  266,    0
196216,20060721,  274,    0
196216,20060722,  284,    0
196216,20060723,  290,    0
196216,20060724,  287,    0
196216,20060725,  281,    0
196216,20060726,  284,    0
196216,20060727,  282,    0
196216,20060728,  279,    0
196216,20060729,  248,    0
196216,20060730,  263,    0
196216,20060731,  271,    0
196216,20060801,  252,    0
196216,20060802,  225,    0
196216,20060803,  222,    0
196216,20060804,  198,    0
196216,20060805,  203,    0
196216,20060806,  227,    0
196216,20060807,  238,    0
196216,20060808,  220,    0
196216,20060809,  207,    0
196216,20060810,  164,    0
196216,20060811,-9999,    9
196216,20060812,-9999,    9
196216,20060813,-9999,    9
196216,20060814,-9999,    9
196216,20060815,-9999,    9
196216,20060816,-9999,    9
196216,20060817,-9999,    9
196216,20060818,-9999,    9
196216,20060819,-9999,    9
196216,20060820,-9999,    9
196216,20060821,-9999,    9
196216,20060822,  182,    0
196216,20060823,  225,    0
196216,20060824,  237,    0
196216,20060825,  231,    0
