EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 12-05-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, PIEVEPELAGO (STAID: 17727).
Blended and updated with sources: 196552 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196552,20120201,-9999,    9
196552,20120202,-9999,    9
196552,20120203,-9999,    9
196552,20120204,-9999,    9
196552,20120205,-9999,    9
196552,20120206,-9999,    9
196552,20120207,-9999,    9
196552,20120208,-9999,    9
196552,20120209,-9999,    9
196552,20120210,-9999,    9
196552,20120211,-9999,    9
196552,20120212,-9999,    9
196552,20120213,-9999,    9
196552,20120214,  -46,    0
196552,20120215,    0,    0
196552,20120216,   20,    0
196552,20120217,   29,    0
196552,20120218,   31,    0
196552,20120219,   21,    0
196552,20120220,  -16,    0
196552,20120221,  -17,    0
196552,20120222,   -3,    0
196552,20120223,   50,    0
196552,20120224,  105,    0
196552,20120225,  119,    0
196552,20120226,   54,    0
196552,20120227,   31,    0
196552,20120228,   54,    0
196552,20120229,  120,    0
196552,20120301,  116,    0
196552,20120302,  125,    0
196552,20120303,   93,    0
196552,20120304,   59,    0
196552,20120305,   46,    0
196552,20120306,   -7,    0
196552,20120307,   14,    0
196552,20120308,   21,    0
196552,20120309,   17,    0
196552,20120310,   16,    0
196552,20120311,   45,    0
196552,20120312,   90,    0
196552,20120313,   81,    0
196552,20120314,   98,    0
196552,20120315,  121,    0
196552,20120316,  112,    0
196552,20120317,   88,    0
196552,20120318,   71,    0
196552,20120319,   55,    0
196552,20120320,   58,    0
196552,20120321,   85,    0
196552,20120322,   95,    0
196552,20120323,   94,    0
196552,20120324,   87,    0
196552,20120325,   83,    0
196552,20120326,  102,    0
196552,20120327,  102,    0
196552,20120328,  119,    0
196552,20120329,  122,    0
196552,20120330,  130,    0
196552,20120331,  127,    0
196552,20120401,   95,    0
196552,20120402,   84,    0
196552,20120403,   75,    0
196552,20120404,   88,    0
196552,20120405,   91,    0
196552,20120406,   83,    0
196552,20120407,   61,    0
196552,20120408,   21,    0
196552,20120409,   25,    0
196552,20120410,   49,    0
196552,20120411,   47,    0
196552,20120412,   56,    0
196552,20120413,   46,    0
196552,20120414,   37,    0
196552,20120415,   54,    0
196552,20120416,   42,    0
196552,20120417,   60,    0
196552,20120418,   45,    0
196552,20120419,   38,    0
196552,20120420,   40,    0
196552,20120421,   65,    0
196552,20120422,   64,    0
196552,20120423,   56,    0
196552,20120424,   44,    0
196552,20120425,   69,    0
196552,20120426,  106,    0
196552,20120427,  152,    0
196552,20120428,  175,    0
196552,20120429,  125,    0
196552,20120430,  118,    0
196552,20120501,  101,    0
196552,20120502,  100,    0
196552,20120503,  106,    0
196552,20120504,  109,    0
196552,20120505,   98,    0
196552,20120506,   91,    0
196552,20120507,   98,    0
196552,20120508,  119,    0
196552,20120509,  134,    0
196552,20120510,  162,    0
196552,20120511,  190,    0
196552,20120512,  201,    0
196552,20120513,   81,    0
196552,20120514,   66,    0
196552,20120515,  102,    0
196552,20120516,   79,    0
196552,20120517,   91,    0
196552,20120518,  101,    0
196552,20120519,  108,    0
196552,20120520,   83,    0
196552,20120521,   83,    0
196552,20120522,   97,    0
196552,20120523,  140,    0
196552,20120524,  170,    0
196552,20120525,  141,    0
196552,20120526,  119,    0
