EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 12-05-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, SAN_BARTOLOMEO_IN_BOSCO (STAID: 17771).
Blended and updated with sources: 196576 197056 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197056,20121201,-9999,    9
197056,20121202,-9999,    9
197056,20121203,-9999,    9
197056,20121204,-9999,    9
197056,20121205,-9999,    9
197056,20121206,-9999,    9
197056,20121207,-9999,    9
197056,20121208,-9999,    9
197056,20121209,-9999,    9
197056,20121210,-9999,    9
197056,20121211,-9999,    9
197056,20121212,-9999,    9
197056,20121213,-9999,    9
197056,20121214,-9999,    9
197056,20121215,-9999,    9
197056,20121216,-9999,    9
197056,20121217,-9999,    9
197056,20121218,-9999,    9
197056,20121219,-9999,    9
197056,20121220,-9999,    9
197056,20121221,-9999,    9
197056,20121222,-9999,    9
197056,20121223,-9999,    9
197056,20121224,-9999,    9
197056,20121225,-9999,    9
197056,20121226,-9999,    9
197056,20121227,-9999,    9
197056,20121228,-9999,    9
197056,20121229,-9999,    9
197056,20121230,-9999,    9
197056,20121231,    3,    0
197056,20130101,   26,    0
197056,20130102,   39,    0
197056,20130103,   61,    0
197056,20130104,   40,    0
197056,20130105,   35,    0
197056,20130106,   17,    0
197056,20130107,   20,    0
197056,20130108,   52,    0
197056,20130109,   56,    0
197056,20130110,   52,    0
197056,20130111,   38,    0
197056,20130112,   47,    0
197056,20130113,   45,    0
197056,20130114,   34,    0
197056,20130115,   33,    0
197056,20130116,   34,    0
197056,20130117,   25,    0
197056,20130118,   25,    0
197056,20130119,   14,    0
197056,20130120,   33,    0
197056,20130121,   38,    0
197056,20130122,   38,    0
197056,20130123,   38,    0
197056,20130124,   59,    0
197056,20130125,   49,    0
197056,20130126,   28,    0
197056,20130127,   10,    0
197056,20130128,   21,    0
197056,20130129,   22,    0
197056,20130130,   26,    0
197056,20130131,   32,    0
197056,20130201,   32,    0
197056,20130202,   44,    0
197056,20130203,   56,    0
197056,20130204,   54,    0
197056,20130205,   40,    0
197056,20130206,   42,    0
197056,20130207,   37,    0
197056,20130208,   29,    0
197056,20130209,   26,    0
197056,20130210,   20,    0
197056,20130211,    9,    0
197056,20130212,   21,    0
197056,20130213,   14,    0
197056,20130214,   36,    0
197056,20130215,   30,    0
197056,20130216,   41,    0
197056,20130217,   43,    0
197056,20130218,   39,    0
197056,20130219,   34,    0
197056,20130220,   32,    0
197056,20130221,   26,    0
197056,20130222,    7,    0
197056,20130223,   13,    0
197056,20130224,   40,    0
197056,20130225,   35,    0
197056,20130226,   45,    0
197056,20130227,   43,    0
197056,20130228,   62,    0
197056,20130301,   60,    0
197056,20130302,   46,    0
197056,20130303,   59,    0
197056,20130304,   68,    0
197056,20130305,   69,    0
197056,20130306,   92,    0
197056,20130307,   93,    0
197056,20130308,  100,    0
197056,20130309,  119,    0
197056,20130310,  114,    0
197056,20130311,  103,    0
197056,20130312,  100,    0
197056,20130313,   99,    0
197056,20130314,   73,    0
197056,20130315,   42,    0
197056,20130316,   44,    0
197056,20130317,   65,    0
197056,20130318,   51,    0
197056,20130319,   84,    0
197056,20130320,   78,    0
197056,20130321,   99,    0
197056,20130322,   96,    0
197056,20130323,  106,    0
197056,20130324,   73,    0
197056,20130325,   33,    0
197056,20130326,   49,    0
197056,20130327,   65,    0
197056,20130328,   70,    0
197056,20130329,   82,    0
197056,20130330,   86,    0
197056,20130331,  100,    0
197056,20130401,   93,    0
197056,20130402,   87,    0
197056,20130403,   92,    0
197056,20130404,   92,    0
197056,20130405,   91,    0
197056,20130406,  101,    0
197056,20130407,  109,    0
197056,20130408,   96,    0
197056,20130409,   98,    0
197056,20130410,  115,    0
197056,20130411,  126,    0
197056,20130412,  164,    0
197056,20130413,  149,    0
197056,20130414,  156,    0
197056,20130415,  159,    0
197056,20130416,  161,    0
197056,20130417,  166,    0
197056,20130418,  179,    0
197056,20130419,  183,    0
197056,20130420,  160,    0
197056,20130421,  140,    0
197056,20130422,  125,    0
197056,20130423,  131,    0
197056,20130424,  144,    0
197056,20130425,  165,    0
197056,20130426,  170,    0
197056,20130427,  155,    0
197056,20130428,  181,    0
197056,20130429,  182,    0
197056,20130430,  169,    0
197056,20130501,  189,    0
197056,20130502,  178,    0
197056,20130503,  181,    0
197056,20130504,  190,    0
197056,20130505,  184,    0
197056,20130506,  177,    0
197056,20130507,  171,    0
197056,20130508,  183,    0
197056,20130509,  200,    0
197056,20130510,  185,    0
197056,20130511,  178,    0
197056,20130512,  171,    0
197056,20130513,  164,    0
197056,20130514,  170,    0
197056,20130515,  182,    0
197056,20130516,  177,    0
197056,20130517,  163,    0
197056,20130518,  170,    0
197056,20130519,  171,    0
197056,20130520,  147,    0
197056,20130521,  156,    0
197056,20130522,  164,    0
197056,20130523,  175,    0
197056,20130524,  121,    0
197056,20130525,  108,    0
197056,20130526,  148,    0
197056,20130527,  161,    0
197056,20130528,  166,    0
197056,20130529,  176,    0
197056,20130530,  142,    0
197056,20130531,  156,    0
197056,20130601,  174,    0
197056,20130602,  188,    0
197056,20130603,  186,    0
197056,20130604,  194,    0
197056,20130605,  199,    0
197056,20130606,  202,    0
197056,20130607,  214,    0
197056,20130608,  222,    0
197056,20130609,  194,    0
197056,20130610,  184,    0
197056,20130611,  208,    0
197056,20130612,  230,    0
197056,20130613,  230,    0
197056,20130614,  232,    0
197056,20130615,  248,    0
197056,20130616,  263,    0
197056,20130617,  266,    0
197056,20130618,  272,    0
197056,20130619,  274,    0
197056,20130620,  272,    0
197056,20130621,  252,    0
197056,20130622,  239,    0
197056,20130623,  238,    0
197056,20130624,  201,    0
197056,20130625,  208,    0
197056,20130626,  184,    0
197056,20130627,  184,    0
197056,20130628,  159,    0
197056,20130629,  182,    0
197056,20130630,  209,    0
197056,20130701,  220,    0
197056,20130702,  229,    0
197056,20130703,  236,    0
197056,20130704,  243,    0
197056,20130705,  253,    0
197056,20130706,  261,    0
197056,20130707,  249,    0
197056,20130708,  249,    0
197056,20130709,  252,    0
197056,20130710,  253,    0
197056,20130711,  253,    0
197056,20130712,  244,    0
197056,20130713,  241,    0
197056,20130714,  237,    0
197056,20130715,  246,    0
197056,20130716,  242,    0
197056,20130717,  240,    0
197056,20130718,  237,    0
197056,20130719,  241,    0
197056,20130720,  249,    0
197056,20130721,  248,    0
197056,20130722,  255,    0
197056,20130723,  263,    0
197056,20130724,  265,    0
197056,20130725,  268,    0
197056,20130726,  280,    0
197056,20130727,  286,    0
197056,20130728,  296,    0
197056,20130729,  245,    0
197056,20130730,  237,    0
197056,20130731,  246,    0
197056,20130801,  254,    0
197056,20130802,  269,    0
197056,20130803,  281,    0
197056,20130804,  289,    0
197056,20130805,  286,    0
197056,20130806,  286,    0
197056,20130807,  275,    0
197056,20130808,  273,    0
197056,20130809,  254,    0
197056,20130810,  241,    0
197056,20130811,  237,    0
197056,20130812,  244,    0
197056,20130813,  260,    0
197056,20130814,  209,    0
197056,20130815,  211,    0
197056,20130816,  217,    0
197056,20130817,  230,    0
197056,20130818,  245,    0
197056,20130819,  245,    0
197056,20130820,  199,    0
197056,20130821,  210,    0
197056,20130822,  217,    0
197056,20130823,  225,    0
197056,20130824,  234,    0
197056,20130825,  222,    0
197056,20130826,  207,    0
197056,20130827,  204,    0
197056,20130828,  210,    0
197056,20130829,  214,    0
197056,20130830,  202,    0
197056,20130831,  205,    0
197056,20130901,  208,    0
197056,20130902,  216,    0
197056,20130903,  227,    0
197056,20130904,  226,    0
197056,20130905,  226,    0
197056,20130906,  229,    0
197056,20130907,  232,    0
197056,20130908,  240,    0
197056,20130909,  236,    0
197056,20130910,  201,    0
197056,20130911,  176,    0
197056,20130912,  173,    0
197056,20130913,  184,    0
197056,20130914,  181,    0
197056,20130915,  184,    0
197056,20130916,  195,    0
197056,20130917,  173,    0
197056,20130918,  154,    0
197056,20130919,  174,    0
197056,20130920,  185,    0
197056,20130921,  185,    0
197056,20130922,  179,    0
197056,20130923,  180,    0
197056,20130924,  194,    0
197056,20130925,  200,    0
197056,20130926,  198,    0
197056,20130927,  215,    0
