EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 12-05-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, SAN_CARLO (STAID: 17772).
Blended and updated with sources: 197080 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197080,20051201,-9999,    9
197080,20051202,-9999,    9
197080,20051203,-9999,    9
197080,20051204,-9999,    9
197080,20051205,-9999,    9
197080,20051206,-9999,    9
197080,20051207,-9999,    9
197080,20051208,-9999,    9
197080,20051209,-9999,    9
197080,20051210,-9999,    9
197080,20051211,-9999,    9
197080,20051212,-9999,    9
197080,20051213,-9999,    9
197080,20051214,-9999,    9
197080,20051215,-9999,    9
197080,20051216,-9999,    9
197080,20051217,-9999,    9
197080,20051218,-9999,    9
197080,20051219,-9999,    9
197080,20051220,-9999,    9
197080,20051221,-9999,    9
197080,20051222,-9999,    9
197080,20051223,-9999,    9
197080,20051224,-9999,    9
197080,20051225,-9999,    9
197080,20051226,-9999,    9
197080,20051227,-9999,    9
197080,20051228,-9999,    9
197080,20051229,-9999,    9
197080,20051230,-9999,    9
197080,20051231,    9,    0
197080,20060101,   13,    0
197080,20060102,   39,    0
197080,20060103,   56,    0
197080,20060104,   47,    0
197080,20060105,   40,    0
197080,20060106,   37,    0
197080,20060107,   54,    0
197080,20060108,   46,    0
197080,20060109,   26,    0
197080,20060110,   19,    0
197080,20060111,   17,    0
197080,20060112,   22,    0
197080,20060113,   20,    0
197080,20060114,    8,    0
197080,20060115,   12,    0
197080,20060116,   16,    0
197080,20060117,   11,    0
197080,20060118,   17,    0
197080,20060119,    8,    0
197080,20060120,    8,    0
197080,20060121,   15,    0
197080,20060122,   32,    0
197080,20060123,   16,    0
197080,20060124,    0,    0
197080,20060125,  -11,    0
197080,20060126,   -2,    0
197080,20060127,   18,    0
197080,20060128,   41,    0
197080,20060129,   60,    0
197080,20060130,   68,    0
197080,20060131,   77,    0
197080,20060201,   63,    0
197080,20060202,   60,    0
197080,20060203,   54,    0
197080,20060204,   59,    0
197080,20060205,   28,    0
197080,20060206,   -5,    0
197080,20060207,    2,    0
197080,20060208,   30,    0
197080,20060209,   36,    0
197080,20060210,   30,    0
197080,20060211,   24,    0
197080,20060212,   21,    0
197080,20060213,   18,    0
197080,20060214,   26,    0
197080,20060215,   70,    0
197080,20060216,   48,    0
197080,20060217,  105,    0
197080,20060218,  112,    0
197080,20060219,  114,    0
197080,20060220,  103,    0
197080,20060221,   66,    0
197080,20060222,   72,    0
197080,20060223,   72,    0
197080,20060224,   55,    0
197080,20060225,   50,    0
197080,20060226,   61,    0
197080,20060227,   48,    0
197080,20060228,   38,    0
197080,20060301,   35,    0
197080,20060302,   33,    0
197080,20060303,   94,    0
197080,20060304,  145,    0
197080,20060305,  131,    0
197080,20060306,   46,    0
197080,20060307,   38,    0
197080,20060308,   46,    0
197080,20060309,   76,    0
197080,20060310,   76,    0
197080,20060311,   56,    0
197080,20060312,   34,    0
197080,20060313,   45,    0
197080,20060314,   45,    0
197080,20060315,   56,    0
197080,20060316,   41,    0
