EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 12-05-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, SASSO_MORELLI_BEGHINA (STAID: 17801).
Blended and updated with sources: 197376 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197376,20120501,-9999,    9
197376,20120502,-9999,    9
197376,20120503,  195,    0
197376,20120504,-9999,    9
197376,20120505,-9999,    9
197376,20120506,-9999,    9
197376,20120507,-9999,    9
197376,20120508,-9999,    9
197376,20120509,-9999,    9
197376,20120510,  231,    0
197376,20120511,  222,    0
197376,20120512,  242,    0
197376,20120513,  125,    0
197376,20120514,  126,    0
197376,20120515,  152,    0
197376,20120516,  116,    0
197376,20120517,  133,    0
197376,20120518,  141,    0
197376,20120519,  150,    0
197376,20120520,  147,    0
197376,20120521,  144,    0
197376,20120522,  160,    0
197376,20120523,  188,    0
197376,20120524,  215,    0
197376,20120525,  197,    0
197376,20120526,  171,    0
197376,20120527,  178,    0
197376,20120528,  191,    0
197376,20120529,  215,    0
197376,20120530,  229,    0
197376,20120531,  208,    0
197376,20120601,  234,    0
197376,20120602,  237,    0
197376,20120603,  240,    0
197376,20120604,  192,    0
197376,20120605,  199,    0
197376,20120606,  214,    0
197376,20120607,  224,    0
197376,20120608,  235,    0
197376,20120609,  230,    0
197376,20120610,  214,    0
197376,20120611,  217,    0
197376,20120612,  213,    0
197376,20120613,  216,    0
197376,20120614,  200,    0
197376,20120615,  214,    0
197376,20120616,  227,    0
197376,20120617,  245,    0
197376,20120618,  256,    0
197376,20120619,  273,    0
197376,20120620,  284,    0
197376,20120621,  279,    0
197376,20120622,  274,    0
197376,20120623,  252,    0
197376,20120624,  259,    0
197376,20120625,  273,    0
197376,20120626,  246,    0
197376,20120627,  247,    0
197376,20120628,  257,    0
197376,20120629,  283,    0
197376,20120630,  290,    0
197376,20120701,  293,    0
197376,20120702,  301,    0
197376,20120703,  271,    0
197376,20120704,  270,    0
197376,20120705,  269,    0
197376,20120706,  246,    0
197376,20120707,  258,    0
197376,20120708,  286,    0
197376,20120709,  290,    0
197376,20120710,  291,    0
197376,20120711,  284,    0
197376,20120712,  274,    0
197376,20120713,  268,    0
197376,20120714,  285,    0
197376,20120715,  264,    0
197376,20120716,  234,    0
197376,20120717,  237,    0
197376,20120718,  251,    0
197376,20120719,  279,    0
197376,20120720,  300,    0
197376,20120721,  251,    0
197376,20120722,  218,    0
197376,20120723,  215,    0
197376,20120724,  231,    0
197376,20120725,  250,    0
197376,20120726,  265,    0
197376,20120727,  285,    0
197376,20120728,  302,    0
197376,20120729,  295,    0
197376,20120730,  274,    0
197376,20120731,  261,    0
197376,20120801,  264,    0
197376,20120802,  268,    0
197376,20120803,  292,    0
197376,20120804,  280,    0
197376,20120805,  286,    0
197376,20120806,  293,    0
197376,20120807,  277,    0
197376,20120808,  260,    0
197376,20120809,  260,    0
197376,20120810,  252,    0
197376,20120811,  246,    0
197376,20120812,  231,    0
197376,20120813,  239,    0
197376,20120814,  254,    0
197376,20120815,  267,    0
197376,20120816,  284,    0
197376,20120817,  267,    0
197376,20120818,  268,    0
197376,20120819,  268,    0
197376,20120820,  281,    0
197376,20120821,  285,    0
197376,20120822,  286,    0
197376,20120823,  293,    0
197376,20120824,  305,    0
197376,20120825,  311,    0
197376,20120826,  266,    0
197376,20120827,  214,    0
197376,20120828,  221,    0
197376,20120829,  246,    0
197376,20120830,  255,    0
197376,20120831,  224,    0
197376,20120901,  187,    0
197376,20120902,  197,    0
197376,20120903,  187,    0
197376,20120904,  190,    0
197376,20120905,  207,    0
197376,20120906,  220,    0
197376,20120907,  215,    0
197376,20120908,  219,    0
197376,20120909,  225,    0
197376,20120910,  231,    0
197376,20120911,  242,    0
197376,20120912,  234,    0
197376,20120913,  158,    0
197376,20120914,  179,    0
197376,20120915,  176,    0
197376,20120916,  175,    0
197376,20120917,  190,    0
197376,20120918,  191,    0
197376,20120919,  186,    0
197376,20120920,  157,    0
197376,20120921,  147,    0
197376,20120922,  178,    0
197376,20120923,  207,    0
197376,20120924,  216,    0
197376,20120925,  217,    0
197376,20120926,  236,    0
197376,20120927,  225,    0
197376,20120928,  198,    0
197376,20120929,  191,    0
197376,20120930,  187,    0
197376,20121001,  187,    0
197376,20121002,  194,    0
197376,20121003,  197,    0
197376,20121004,  204,    0
197376,20121005,  192,    0
197376,20121006,  190,    0
197376,20121007,  200,    0
197376,20121008,  179,    0
197376,20121009,  162,    0
197376,20121010,  178,    0
197376,20121011,  168,    0
197376,20121012,  154,    0
197376,20121013,  161,    0
197376,20121014,  152,    0
197376,20121015,  157,    0
197376,20121016,  140,    0
197376,20121017,  147,    0
197376,20121018,  150,    0
197376,20121019,  152,    0
197376,20121020,  143,    0
197376,20121021,  150,    0
197376,20121022,  149,    0
197376,20121023,  136,    0
197376,20121024,  125,    0
197376,20121025,  125,    0
197376,20121026,  129,    0
197376,20121027,  156,    0
197376,20121028,   96,    0
197376,20121029,   66,    0
197376,20121030,   70,    0
197376,20121031,   90,    0
197376,20121101,  115,    0
197376,20121102,  146,    0
197376,20121103,  133,    0
197376,20121104,  127,    0
197376,20121105,  166,    0
197376,20121106,  145,    0
197376,20121107,   94,    0
197376,20121108,   75,    0
197376,20121109,   89,    0
197376,20121110,  103,    0
197376,20121111,  149,    0
197376,20121112,  116,    0
197376,20121113,  125,    0
197376,20121114,  113,    0
197376,20121115,   81,    0
197376,20121116,   75,    0
197376,20121117,   91,    0
197376,20121118,   88,    0
197376,20121119,   92,    0
197376,20121120,  108,    0
197376,20121121,   85,    0
197376,20121122,   86,    0
197376,20121123,   97,    0
197376,20121124,   94,    0
197376,20121125,   96,    0
197376,20121126,  109,    0
197376,20121127,  116,    0
197376,20121128,  111,    0
197376,20121129,   92,    0
197376,20121130,   83,    0
197376,20121201,   67,    0
197376,20121202,   57,    0
197376,20121203,   42,    0
197376,20121204,   24,    0
197376,20121205,   14,    0
197376,20121206,    6,    0
197376,20121207,    0,    0
197376,20121208,    1,    0
197376,20121209,   -5,    0
197376,20121210,   -8,    0
197376,20121211,   15,    0
197376,20121212,   -4,    0
197376,20121213,  -17,    0
197376,20121214,    0,    0
197376,20121215,    9,    0
197376,20121216,   12,    0
197376,20121217,   19,    0
197376,20121218,   16,    0
197376,20121219,    0,    0
197376,20121220,    3,    0
197376,20121221,   11,    0
197376,20121222,   22,    0
197376,20121223,   10,    0
197376,20121224,   29,    0
197376,20121225,   40,    0
197376,20121226,   50,    0
197376,20121227,   44,    0
197376,20121228,   59,    0
197376,20121229,   25,    0
197376,20121230,   18,    0
197376,20121231,   10,    0
197376,20130101,   18,    0
197376,20130102,   36,    0
197376,20130103,   59,    0
197376,20130104,   41,    0
197376,20130105,   51,    0
197376,20130106,   38,    0
197376,20130107,   33,    0
197376,20130108,   48,    0
197376,20130109,   52,    0
197376,20130110,   45,    0
197376,20130111,   32,    0
197376,20130112,   29,    0
197376,20130113,   35,    0
197376,20130114,   22,    0
197376,20130115,   16,    0
197376,20130116,   19,    0
197376,20130117,   14,    0
197376,20130118,   25,    0
197376,20130119,   14,    0
197376,20130120,   26,    0
197376,20130121,   30,    0
197376,20130122,   25,    0
197376,20130123,   26,    0
197376,20130124,   51,    0
197376,20130125,   41,    0
197376,20130126,   15,    0
197376,20130127,    6,    0
197376,20130128,   15,    0
197376,20130129,   16,    0
197376,20130130,   17,    0
197376,20130131,   32,    0
197376,20130201,   16,    0
197376,20130202,   28,    0
197376,20130203,   40,    0
197376,20130204,   55,    0
197376,20130205,   39,    0
197376,20130206,   48,    0
197376,20130207,   35,    0
197376,20130208,   25,    0
197376,20130209,   10,    0
197376,20130210,    8,    0
197376,20130211,    2,    0
197376,20130212,   11,    0
197376,20130213,   22,    0
197376,20130214,   37,    0
197376,20130215,   25,    0
197376,20130216,   33,    0
197376,20130217,   36,    0
197376,20130218,   35,    0
197376,20130219,   26,    0
197376,20130220,   24,    0
197376,20130221,   19,    0
197376,20130222,   -2,    0
197376,20130223,    2,    0
197376,20130224,   28,    0
197376,20130225,   13,    0
197376,20130226,   26,    0
197376,20130227,   32,    0
197376,20130228,   50,    0
197376,20130301,   52,    0
197376,20130302,   50,    0
197376,20130303,   59,    0
197376,20130304,   61,    0
197376,20130305,   38,    0
197376,20130306,   73,    0
197376,20130307,   93,    0
197376,20130308,   99,    0
197376,20130309,  119,    0
197376,20130310,  112,    0
197376,20130311,   92,    0
197376,20130312,   92,    0
197376,20130313,   87,    0
197376,20130314,   66,    0
197376,20130315,   38,    0
197376,20130316,   36,    0
197376,20130317,   57,    0
197376,20130318,   47,    0
197376,20130319,  109,    0
197376,20130320,   84,    0
197376,20130321,  103,    0
197376,20130322,   96,    0
197376,20130323,   99,    0
197376,20130324,   84,    0
197376,20130325,   33,    0
197376,20130326,   39,    0
197376,20130327,   64,    0
197376,20130328,   67,    0
197376,20130329,   76,    0
197376,20130330,   84,    0
197376,20130331,   97,    0
197376,20130401,   94,    0
197376,20130402,   82,    0
197376,20130403,   84,    0
197376,20130404,   87,    0
197376,20130405,   90,    0
197376,20130406,   95,    0
197376,20130407,   96,    0
197376,20130408,   88,    0
197376,20130409,  102,    0
197376,20130410,  117,    0
197376,20130411,  133,    0
197376,20130412,  167,    0
197376,20130413,  162,    0
197376,20130414,  149,    0
197376,20130415,  158,    0
197376,20130416,  154,    0
197376,20130417,  164,    0
197376,20130418,  178,    0
197376,20130419,  184,    0
197376,20130420,  166,    0
197376,20130421,  143,    0
197376,20130422,  120,    0
197376,20130423,  126,    0
197376,20130424,  141,    0
197376,20130425,  163,    0
197376,20130426,  166,    0
197376,20130427,  164,    0
197376,20130428,  184,    0
197376,20130429,  171,    0
197376,20130430,  173,    0
197376,20130501,  189,    0
197376,20130502,  171,    0
197376,20130503,  186,    0
197376,20130504,  188,    0
197376,20130505,  162,    0
197376,20130506,  169,    0
197376,20130507,  177,    0
197376,20130508,  179,    0
197376,20130509,  199,    0
197376,20130510,  190,    0
197376,20130511,  178,    0
197376,20130512,  167,    0
197376,20130513,  159,    0
197376,20130514,  173,    0
197376,20130515,  189,    0
197376,20130516,  173,    0
197376,20130517,  164,    0
197376,20130518,  175,    0
197376,20130519,  170,    0
197376,20130520,  168,    0
197376,20130521,  166,    0
197376,20130522,  165,    0
197376,20130523,  172,    0
197376,20130524,  117,    0
197376,20130525,   99,    0
197376,20130526,  151,    0
197376,20130527,  173,    0
197376,20130528,  168,    0
197376,20130529,  173,    0
197376,20130530,  137,    0
197376,20130531,  162,    0
197376,20130601,  178,    0
197376,20130602,  197,    0
197376,20130603,  172,    0
197376,20130604,  186,    0
197376,20130605,  195,    0
197376,20130606,  182,    0
197376,20130607,  205,    0
197376,20130608,  218,    0
197376,20130609,  190,    0
197376,20130610,  187,    0
197376,20130611,  212,    0
197376,20130612,  217,    0
197376,20130613,  221,    0
197376,20130614,  235,    0
197376,20130615,  260,    0
197376,20130616,  263,    0
197376,20130617,  264,    0
