EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 12-05-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, SERPIERI (STAID: 17811).
Blended and updated with sources: 197464 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197464,20181001,-9999,    9
197464,20181002,-9999,    9
197464,20181003,-9999,    9
197464,20181004,-9999,    9
197464,20181005,-9999,    9
197464,20181006,-9999,    9
197464,20181007,-9999,    9
197464,20181008,-9999,    9
197464,20181009,-9999,    9
197464,20181010,-9999,    9
197464,20181011,-9999,    9
197464,20181012,-9999,    9
197464,20181013,-9999,    9
197464,20181014,-9999,    9
197464,20181015,-9999,    9
197464,20181016,-9999,    9
197464,20181017,-9999,    9
197464,20181018,-9999,    9
197464,20181019,-9999,    9
197464,20181020,-9999,    9
197464,20181021,-9999,    9
197464,20181022,-9999,    9
197464,20181023,-9999,    9
197464,20181024,-9999,    9
197464,20181025,-9999,    9
197464,20181026,-9999,    9
197464,20181027,-9999,    9
197464,20181028,-9999,    9
197464,20181029,-9999,    9
197464,20181030,-9999,    9
197464,20181031,  132,    0
197464,20181101,  139,    0
197464,20181102,  131,    0
197464,20181103,  144,    0
197464,20181104,  147,    0
197464,20181105,  158,    0
197464,20181106,  153,    0
197464,20181107,  145,    0
197464,20181108,  142,    0
197464,20181109,  120,    0
197464,20181110,  130,    0
197464,20181111,  144,    0
197464,20181112,  142,    0
197464,20181113,  146,    0
197464,20181114,  127,    0
197464,20181115,  109,    0
197464,20181116,   90,    0
197464,20181117,   76,    0
197464,20181118,   55,    0
197464,20181119,   54,    0
197464,20181120,   41,    0
197464,20181121,   82,    0
197464,20181122,   87,    0
197464,20181123,   81,    0
197464,20181124,   99,    0
197464,20181125,   92,    0
197464,20181126,  101,    0
197464,20181127,   99,    0
197464,20181128,   70,    0
197464,20181129,   37,    0
197464,20181130,   27,    0
197464,20181201,   48,    0
197464,20181202,   51,    0
197464,20181203,   73,    0
197464,20181204,   70,    0
197464,20181205,   58,    0
197464,20181206,   76,    0
197464,20181207,   70,    0
197464,20181208,   77,    0
197464,20181209,   52,    0
197464,20181210,   99,    0
197464,20181211,   56,    0
197464,20181212,   28,    0
197464,20181213,   23,    0
197464,20181214,   26,    0
197464,20181215,    5,    0
197464,20181216,   -2,    0
197464,20181217,   12,    0
197464,20181218,   -7,    0
197464,20181219,  -10,    0
197464,20181220,   16,    0
197464,20181221,   17,    0
197464,20181222,   36,    0
197464,20181223,   35,    0
197464,20181224,   39,    0
197464,20181225,   33,    0
197464,20181226,   13,    0
197464,20181227,    5,    0
197464,20181228,   22,    0
197464,20181229,   31,    0
197464,20181230,   39,    0
197464,20181231,   30,    0
197464,20190101,    6,    0
197464,20190102,    8,    0
197464,20190103,    9,    0
197464,20190104,    6,    0
197464,20190105,    2,    0
197464,20190106,   29,    0
197464,20190107,    5,    0
197464,20190108,   -1,    0
197464,20190109,    1,    0
197464,20190110,   24,    0
197464,20190111,   14,    0
197464,20190112,   18,    0
197464,20190113,   28,    0
197464,20190114,   68,    0
197464,20190115,   59,    0
197464,20190116,   54,    0
197464,20190117,   80,    0
197464,20190118,   60,    0
197464,20190119,   37,    0
197464,20190120,   35,    0
197464,20190121,   35,    0
197464,20190122,   23,    0
197464,20190123,   15,    0
197464,20190124,   14,    0
197464,20190125,   16,    0
197464,20190126,   12,    0
197464,20190127,    6,    0
197464,20190128,   30,    0
197464,20190129,   35,    0
197464,20190130,    7,    0
197464,20190131,    9,    0
197464,20190201,   15,    0
197464,20190202,   33,    0
197464,20190203,   58,    0
197464,20190204,   60,    0
197464,20190205,   45,    0
197464,20190206,   54,    0
197464,20190207,   53,    0
197464,20190208,   58,    0
197464,20190209,   61,    0
