EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 12-05-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, BUDRIO_ROTTA_DEL_GIARDINO (STAID: 17862).
Blended and updated with sources: 197208 197272 197992 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197208,20051201,-9999,    9
197208,20051202,-9999,    9
197208,20051203,-9999,    9
197208,20051204,-9999,    9
197208,20051205,-9999,    9
197208,20051206,-9999,    9
197208,20051207,-9999,    9
197208,20051208,-9999,    9
197208,20051209,-9999,    9
197208,20051210,-9999,    9
197208,20051211,-9999,    9
197208,20051212,-9999,    9
197208,20051213,-9999,    9
197208,20051214,-9999,    9
197208,20051215,-9999,    9
197208,20051216,-9999,    9
197208,20051217,-9999,    9
197208,20051218,-9999,    9
197208,20051219,-9999,    9
197208,20051220,-9999,    9
197208,20051221,-9999,    9
197208,20051222,-9999,    9
197208,20051223,-9999,    9
197208,20051224,-9999,    9
197208,20051225,-9999,    9
197208,20051226,-9999,    9
197208,20051227,-9999,    9
197208,20051228,-9999,    9
197208,20051229,-9999,    9
197208,20051230,-9999,    9
197208,20051231,  -14,    0
197208,20060101,   -3,    0
197208,20060102,    8,    0
197208,20060103,   26,    0
197208,20060104,    4,    0
197208,20060105,   29,    0
197208,20060106,   28,    0
197208,20060107,   34,    0
197208,20060108,   26,    0
197208,20060109,    0,    0
197208,20060110,   -3,    0
197208,20060111,   -3,    0
197208,20060112,    0,    0
197208,20060113,   -9,    0
197208,20060114,  -34,    0
197208,20060115,  -11,    0
197208,20060116,    0,    0
197208,20060117,   -3,    0
197208,20060118,   -4,    0
197208,20060119,  -13,    0
197208,20060120,  -26,    0
197208,20060121,  -10,    0
197208,20060122,   27,    0
197208,20060123,    1,    0
197208,20060124,  -10,    0
197208,20060125,  -51,    0
197208,20060126,  -37,    0
197208,20060127,    9,    0
197208,20060128,   20,    0
197208,20060129,   33,    0
197208,20060130,   43,    0
197208,20060131,   57,    0
197208,20060201,   29,    0
197208,20060202,   44,    0
197208,20060203,   28,    0
197208,20060204,   93,    0
197272,20060205,   16,    0
197208,20060206,  -42,    0
197208,20060207,    6,    0
197208,20060208,   27,    0
197208,20060209,   35,    0
197208,20060210,   38,    0
197208,20060211,   39,    0
197208,20060212,   12,    0
197208,20060213,  -21,    0
197208,20060214,    7,    0
197208,20060215,   31,    0
197208,20060216,   24,    0
197208,20060217,   46,    0
197208,20060218,  106,    0
197208,20060219,   59,    0
197208,20060220,   76,    0
197208,20060221,   58,    0
197208,20060222,   71,    0
197208,20060223,   73,    0
197208,20060224,   51,    0
197208,20060225,   53,    0
197208,20060226,   43,    0
197208,20060227,   44,    0
197208,20060228,   25,    0
197208,20060301,   43,    0
197208,20060302,   30,    0
197208,20060303,   41,    0
197208,20060304,  116,    0
197208,20060305,  119,    0
197208,20060306,   47,    0
197208,20060307,   24,    0
197208,20060308,   41,    0
197208,20060309,   39,    0
197208,20060310,   70,    0
197208,20060311,   50,    0
197208,20060312,   10,    0
197208,20060313,  -11,    0
197208,20060314,   20,    0
197208,20060315,   43,    0
197208,20060316,   53,    0
197208,20060317,   62,    0
197208,20060318,   12,    0
197208,20060319,   55,    0
197208,20060320,   33,    0
197208,20060321,   71,    0
197208,20060322,   84,    0
197208,20060323,  106,    0
197208,20060324,   97,    0
197208,20060325,  107,    0
197208,20060326,  119,    0
197208,20060327,  181,    0
197208,20060328,  147,    0
197208,20060329,  192,    0
197208,20060330,  129,    0
197208,20060331,  175,    0
197208,20060401,  158,    0
197208,20060402,  133,    0
197208,20060403,   92,    0
197208,20060404,   85,    0
197208,20060405,  132,    0
197208,20060406,  105,    0
197208,20060407,  100,    0
197208,20060408,  145,    0
197208,20060409,  132,    0
197272,20060410,  132,    0
197272,20060411,   88,    0
197208,20060412,   88,    0
197208,20060413,  132,    0
197208,20060414,   43,    0
197208,20060415,  118,    0
197208,20060416,  105,    0
197272,20060417,  132,    0
197272,20060418,  133,    0
197272,20060419,  136,    0
197208,20060420,  130,    0
197208,20060421,  164,    0
197208,20060422,  158,    0
197208,20060423,  160,    0
197208,20060424,  177,    0
197208,20060425,  127,    0
197208,20060426,  188,    0
197208,20060427,  143,    0
197208,20060428,  147,    0
197208,20060429,  145,    0
197208,20060430,  108,    0
197208,20060501,  100,    0
197208,20060502,  120,    0
197208,20060503,  116,    0
197208,20060504,  167,    0
197208,20060505,  165,    0
197208,20060506,  161,    0
197208,20060507,  110,    0
197208,20060508,  157,    0
197208,20060509,  142,    0
197272,20060510,  149,    0
197208,20060511,  175,    0
197208,20060512,  188,    0
197208,20060513,  224,    0
197208,20060514,  164,    0
197208,20060515,  114,    0
197208,20060516,  182,    0
197208,20060517,  228,    0
197208,20060518,  231,    0
197208,20060519,  238,    0
197208,20060520,  202,    0
197208,20060521,  191,    0
197208,20060522,  200,    0
197208,20060523,  184,    0
197208,20060524,  175,    0
197272,20060525,  153,    0
197208,20060526,  196,    0
197208,20060527,  221,    0
197208,20060528,  197,    0
197208,20060529,  175,    0
197208,20060530,  119,    0
197208,20060531,  138,    0
197208,20060601,  184,    0
197208,20060602,  138,    0
197208,20060603,  137,    0
197208,20060604,  171,    0
197208,20060605,  161,    0
197208,20060606,  175,    0
197208,20060607,  160,    0
197208,20060608,  144,    0
197208,20060609,  195,    0
197208,20060610,  191,    0
197208,20060611,  183,    0
197208,20060612,  177,    0
197208,20060613,  197,    0
197208,20060614,  180,    0
197208,20060615,  222,    0
197208,20060616,  228,    0
197208,20060617,  212,    0
197208,20060618,  261,    0
197208,20060619,  261,    0
197208,20060620,  239,    0
197208,20060621,  273,    0
197208,20060622,  318,    0
197208,20060623,  246,    0
197208,20060624,  277,    0
197208,20060625,  246,    0
197208,20060626,  280,    0
197208,20060627,  245,    0
197208,20060628,  319,    0
197208,20060629,  223,    0
197208,20060630,  265,    0
197208,20060701,  266,    0
197208,20060702,  235,    0
197208,20060703,  244,    0
197208,20060704,  241,    0
197208,20060705,  167,    0
197208,20060706,  229,    0
197208,20060707,  217,    0
197208,20060708,  217,    0
197208,20060709,  222,    0
197208,20060710,  201,    0
197208,20060711,  217,    0
197208,20060712,  230,    0
197208,20060713,  235,    0
197208,20060714,  257,    0
197208,20060715,  269,    0
197208,20060716,  226,    0
197208,20060717,  230,    0
197208,20060718,  293,    0
197208,20060719,  237,    0
197208,20060720,  309,    0
197208,20060721,  357,    0
197208,20060722,  361,    0
197208,20060723,  335,    0
197208,20060724,  323,    0
197208,20060725,  279,    0
197208,20060726,  313,    0
197208,20060727,  290,    0
197208,20060728,  234,    0
197208,20060729,  216,    0
197272,20060730,  265,    0
197208,20060731,  328,    0
197272,20060801,  259,    0
197272,20060802,  229,    0
197272,20060803,  222,    0
197272,20060804,  194,    0
197272,20060805,  207,    0
197272,20060806,  222,    0
197272,20060807,  235,    0
197272,20060808,  223,    0
197272,20060809,  210,    0
197272,20060810,  212,    0
197272,20060811,  186,    0
197272,20060812,  170,    0
197272,20060813,  182,    0
197272,20060814,  184,    0
197272,20060815,  200,    0
197272,20060816,  216,    0
197272,20060817,  244,    0
197272,20060818,  266,    0
197272,20060819,  216,    0
197272,20060820,  231,    0
197272,20060821,  209,    0
197272,20060822,  219,    0
197272,20060823,  230,    0
197272,20060824,  234,    0
197272,20060825,  216,    0
197272,20060826,  216,    0
197272,20060827,  197,    0
197272,20060828,  207,    0
197272,20060829,  215,    0
197272,20060830,  185,    0
197272,20060831,  185,    0
197272,20060901,  194,    0
197272,20060902,  206,    0
197272,20060903,  223,    0
197272,20060904,  242,    0
197208,20060905,  252,    0
197208,20060906,  239,    0
197208,20060907,  243,    0
197208,20060908,  236,    0
197208,20060909,  199,    0
197208,20060910,  183,    0
197208,20060911,  184,    0
197208,20060912,  186,    0
197208,20060913,  196,    0
