EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 12-05-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, BORGONOVO_-_GENESI (STAID: 21780).
Blended and updated with sources: 218216 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
218216,20200501,-9999,    9
218216,20200502,-9999,    9
218216,20200503,-9999,    9
218216,20200504,-9999,    9
218216,20200505,-9999,    9
218216,20200506,-9999,    9
218216,20200507,-9999,    9
218216,20200508,-9999,    9
218216,20200509,-9999,    9
218216,20200510,-9999,    9
218216,20200511,-9999,    9
218216,20200512,-9999,    9
218216,20200513,-9999,    9
218216,20200514,-9999,    9
218216,20200515,-9999,    9
218216,20200516,-9999,    9
218216,20200517,-9999,    9
218216,20200518,-9999,    9
218216,20200519,-9999,    9
218216,20200520,-9999,    9
218216,20200521,-9999,    9
218216,20200522,-9999,    9
218216,20200523,-9999,    9
218216,20200524,-9999,    9
218216,20200525,-9999,    9
218216,20200526,-9999,    9
218216,20200527,-9999,    9
218216,20200528,-9999,    9
218216,20200529,-9999,    9
218216,20200530,-9999,    9
218216,20200531,  180,    0
218216,20200601,  199,    0
218216,20200602,  228,    0
218216,20200603,  207,    0
218216,20200604,  161,    0
218216,20200605,  201,    0
218216,20200606,  205,    0
218216,20200607,  190,    0
218216,20200608,  171,    0
218216,20200609,  169,    0
218216,20200610,  156,    0
218216,20200611,  164,    0
218216,20200612,  189,    0
218216,20200613,  202,    0
218216,20200614,  204,    0
218216,20200615,  211,    0
218216,20200616,  212,    0
218216,20200617,  192,    0
